,CollectDate,Ammmonia Nitrogen (mg/L),Conductivity (µmhos/cm),Dissolved Oxygen (mg/L),Fecal Coliform (CFU/100ml),Nitrate Nitrite (mg/L),Orthophosphate Phosphate (mg/L),pH,Temperature (°C),Total Nitrogen (mg/L),Total Phosphorus (mg/L),WQI
345,2001-01-29,0.01,102.0,10.3,200.0,0.183,0.0027,7.0,6.9,0.359,0.0115,63.99133910571063
347,2001-02-28,0.01,123.0,11.9,75.0,0.165,0.002,7.1,6.8,0.374,0.0113,58.68354652410022
348,2001-02-28,0.01,128.0,11.5,75.0,0.169,0.002,7.2,6.8,0.376,0.012,60.064306942487285
353,2001-04-02,0.028,99.7,11.5,22.0,0.111,0.002,7.4,9.1,0.374,0.0206,50.7665011888473
354,2001-04-02,0.028,99.7,11.49,22.0,0.109,0.002,7.4,9.1,0.35,0.0196,49.81416846763157
355,2001-04-02,0.028,103.0,11.5,22.0,0.107,0.002,7.4,9.1,0.326,0.0186,48.86393216947667
356,2001-04-02,0.028,103.1,11.51,22.0,0.109,0.002,7.4,9.1,0.35,0.0196,49.81626822872605
359,2001-05-01,0.015,159.0,10.5,77.0,0.076,0.002,7.2,11.8,0.334,0.0141,34.37895067791262
360,2001-05-01,0.017,169.0,10.6,77.0,0.075,0.002,7.3,11.7,0.342,0.0143,34.76444064427963
366,2001-05-29,0.013,139.0,9.9,58.0,0.02,0.002,7.6,15.9,0.28,0.0144,17.136502512280487
367,2001-05-29,0.02,147.0,9.8,58.0,0.02,0.002,7.4,15.8,0.323,0.0178,20.326500065223655
372,2001-07-03,0.01,234.0,9.5,10.0,0.02,0.002,7.7,18.6,0.201,0.0121,15.504675775678294
373,2001-07-03,0.01,323.0,9.1,10.0,0.02,0.002,7.5,18.4,0.236,0.0128,15.730658498985179
379,2001-08-06,0.031,429.0,7.6,46.0,0.02,0.0021,7.3,20.2,0.216,0.0061,19.948729837072346
380,2001-08-06,0.031,478.0,7.2,46.0,0.02,0.0021,7.3,20.1,0.228,0.0092,20.860855670045492
386,2001-09-04,0.01,399.0,8.8,25.0,0.02,0.002,7.4,20.1,0.229,0.0129,15.821382701508728
387,2001-09-04,0.01,413.0,8.4,25.0,0.02,0.002,7.3,20.0,0.25,0.015050000000000001,16.46155668157027
388,2001-09-04,0.01,2130.0,8.0,25.0,0.02,0.002,7.2,19.9,0.271,0.0172,17.158577374511466
394,2001-10-01,0.01,488.0,8.1,44.0,0.02,0.0023,7.2,17.7,0.191,0.0216,18.14051109137501
395,2001-10-01,0.01,479.0,8.0,44.0,0.02,0.0021,7.2,17.7,0.22,0.0221,18.338589317863
397,2001-11-05,0.018,139.0,9.0,51.0,0.069,0.0032,6.9,12.0,0.271,0.0122,32.33530432458131
398,2001-11-05,0.016,170.0,8.8,51.0,0.072,0.0031,6.9,12.0,0.276,0.0112,32.32570609851517
400,2001-12-04,0.015,97.9,9.7,120.0,0.176,0.0076,7.6,9.1,0.324,0.0154,64.63492652771279
401,2001-12-04,0.015,1170.0,9.6,120.0,0.176,0.0075,7.3,9.2,0.321,0.0157,64.73710541932053
403,2002-01-07,0.021,108.0,10.1,230.0,0.214,0.0103,7.0,8.2,0.363,0.0194,79.14710877097474
404,2002-01-07,0.021,111.0,10.0,230.0,0.216,0.0107,7.0,8.2,0.375,0.0199,79.91817716184079
406,2002-01-29,0.013,101.0,10.8,57.0,0.226,0.0096,6.5,6.6,0.396,0.0171,79.64014337475966
407,2002-01-29,0.011,104.0,10.8,57.0,0.216,0.0098,6.6,6.6,0.403,0.0175,76.17650178177409
409,2002-03-04,0.01,101.0,11.2,27.0,0.213,0.0061,7.5,7.1,0.425,0.0182,75.28929947697196
410,2002-03-04,0.01,153.0,11.3,27.0,0.214,0.0062,7.4,7.1,0.407,0.0174,75.32054190920705
415,2002-04-01,0.013,110.0,12.2,48.0,0.168,0.0022,7.9,8.1,0.364,0.0155,61.86728034448253
416,2002-04-01,0.01,118.0,12.3,48.0,0.166,0.0024,7.9,8.1,0.321,0.0141,59.867465080770465
421,2002-05-06,0.011,198.0,11.3,29.0,0.085,0.002,8.6,11.0,0.296,0.005,33.149942942203815
422,2002-05-06,0.014,253.0,11.5,29.0,0.085,0.002,8.6,10.9,0.297,0.005,34.068865811691445
427,2002-06-03,0.012,338.0,11.0,24.0,0.042,0.002,8.4,15.5,0.259,0.0082,21.657974957759844
428,2002-06-03,0.013,588.0,10.5,24.0,0.045,0.002,8.3,15.5,0.259,0.0081,22.784155046345777
434,2002-07-01,0.014,218.0,9.2,35.0,0.02,0.002,7.6,19.5,0.199,0.0094,15.915867729550992
435,2002-07-01,0.017,223.0,8.6,35.0,0.02,0.002,7.6,19.0,0.247,0.0157,18.71986634713067
440,2002-08-05,0.01,391.0,8.2,47.0,0.02,0.002,7.1,20.6,0.229,0.0102,14.972193050005638
441,2002-08-05,0.01,403.0,7.9,47.0,0.02,0.002,7.1,20.3,0.236,0.0106,15.059179456388971
446,2002-09-04,0.06,351.0,7.5,120.0,0.023,0.0029,7.0,20.8,0.297,0.0142,32.19827015268948
447,2002-09-04,0.058,353.0,7.6,120.0,0.025,0.0029,7.0,20.7,0.259,0.0119,31.43188590862033
452,2002-10-07,0.012,512.0,7.7,1200.0,0.02,0.0026,7.2,17.3,0.256,0.0147,16.934758779084934
453,2002-10-07,0.018,511.0,7.1,1200.0,0.02,0.0028,7.2,17.2,0.258,0.0139,18.43778194755898
455,2002-11-04,0.058,309.0,9.0,1400.0,0.061,0.0141,7.1,12.4,0.319,0.0267,46.79698648396901
456,2002-11-04,0.06,323.0,8.6,1400.0,0.054,0.0148,7.1,12.3,0.312,0.0258,44.97290945252507
458,2002-12-03,0.024,160.0,9.4,360.0,0.066,0.0042,6.7,10.1,0.274,0.0125,33.31153154639235
459,2002-12-03,0.026,159.0,10.0,360.0,0.067,0.0042,6.9,10.1,0.268,0.0123,34.208069263944225
461,2003-01-06,0.02,123.0,11.3,200.0,0.151,0.0086,7.1,8.2,0.314,0.0167,59.10512643859242
462,2003-01-06,0.019,186.0,11.1,200.0,0.154,0.009,7.1,8.2,0.315,0.0167,59.69510581484248
463,2003-02-04,0.019,102.0,10.2,14.0,0.186,0.0096,6.9,8.2,0.343,0.0148,68.67230201388833
464,2003-02-04,0.018,119.0,10.2,14.0,0.183,0.0077,7.0,8.2,0.282,0.013,66.78447934140954
465,2003-03-03,0.01,104.0,11.3,67.0,0.12,0.0032,6.8,7.8,0.287,0.0118,45.134932039454824
466,2003-03-03,0.01,128.0,11.5,67.0,0.12,0.003,7.1,7.8,0.297,0.0124,45.366783302154175
470,2003-04-07,0.01,106.0,12.0,25.0,0.104,0.002,7.3,9.2,0.288,0.0088,39.583848963299815
471,2003-04-07,0.01,113.0,12.1,25.0,0.107,0.002,7.6,9.1,0.282,0.0088,40.48910865227687
477,2003-05-05,0.01,125.0,11.3,65.0,0.044,0.002,7.5,12.2,0.242,0.0122,22.61389430589164
478,2003-05-05,0.01,129.0,11.0,65.0,0.045,0.002,7.5,12.2,0.272,0.0127,23.09745648003998
482,2003-06-02,0.015,384.0,9.7,25.0,0.02,0.002,7.0,16.6,0.237,0.0126,17.10772215835515
483,2003-06-02,0.017,538.0,9.2,25.0,0.02,0.002,7.2,16.6,0.239,0.0122,17.556371625895075
487,2003-07-07,0.01,282.0,8.7,15.0,0.02,0.002,7.4,20.2,0.191,0.008,14.260677398988284
488,2003-07-07,0.01,312.0,8.5,15.0,0.02,0.002,7.4,20.1,0.201,0.0087,14.466843876909024
492,2003-08-04,0.01,387.0,7.8,33.0,0.02,0.002,7.1,22.5,0.246,0.0134,16.04333725058256
493,2003-08-04,0.01,389.0,7.6,33.0,0.02,0.002,7.2,22.5,0.247,0.0149,16.48042024828451
497,2003-09-02,0.01,507.0,7.6,16.0,0.02,0.002,7.2,21.3,0.237,0.0157,16.62745955358809
498,2003-09-02,0.01,503.0,7.5,16.0,0.02,0.002,7.2,21.2,0.237,0.0168,16.941728940598466
503,2003-10-07,0.028,529.0,7.3,200.0,0.02,0.0079,7.0,18.0,0.263,0.021,23.543088178767135
504,2003-10-07,0.029,530.0,7.5,160.0,0.02,0.0086,7.1,18.0,0.254,0.0202,23.61026870716275
505,2003-10-07,0.028,528.0,7.5,180.0,0.02,0.0082,7.1,18.0,0.237,0.0206,23.392971577447955
506,2003-11-03,0.014,168.0,9.0,130.0,0.038,0.0055,7.5,12.8,0.222,0.0144,22.494828423944252
507,2003-11-03,0.012,168.0,8.7,130.0,0.037,0.0052,7.5,12.8,0.218,0.0148,21.67198437262501
508,2003-12-03,0.023,103.0,9.4,90.0,0.118,0.0041,7.6,9.4,0.308,0.0138,49.041482977920396
509,2003-12-03,0.024,104.0,9.3,120.0,0.12,0.0037,7.5,9.4,0.304,0.014,49.98057398495624
510,2003-12-03,0.024,104.0,9.3,105.0,0.123,0.0043,7.5,9.4,0.309,0.0126,50.47641971930932
511,2004-01-05,0.015,118.0,11.1,38.0,0.177,0.007,6.8,5.4,0.353,0.0138,64.37404226911374
512,2004-01-05,0.016,122.0,11.0,38.0,0.177,0.0066,6.8,5.5,0.347,0.014,64.71355877137131
513,2004-02-02,0.014,102.0,10.8,43.0,0.193,0.0068,6.4,7.1,0.35,0.0156,69.47057901640896
514,2004-02-02,0.015,111.0,10.9,43.0,0.194,0.0068,6.5,7.1,0.325,0.0137,69.46285441051647
515,2004-03-01,0.012,111.3,11.0,36.0,0.186,0.0035,7.1,7.8,0.37,0.0158,66.91996948797023
516,2004-03-01,0.012,111.3,10.97,33.0,0.184,0.0035,7.1,7.8,0.377,0.0143,65.87961886329097
517,2004-03-01,0.011,140.0,10.88,34.5,0.186,0.0035,7.1,7.8,0.368,0.0165,66.81446318385507
523,2004-04-06,0.013,119.0,11.6,11.0,0.14,0.002,6.7,10.4,0.289,0.0138,52.81157361673485
524,2004-04-06,0.015,118.0,12.2,11.0,0.164,0.002,6.8,10.4,0.29,0.0156,61.22913281601147
528,2004-05-04,0.01,167.0,10.5,45.0,0.048,0.002,7.4,15.2,0.32,0.0148,24.8578442220521
529,2004-05-04,0.014,282.0,10.0,45.0,0.056,0.002,7.3,14.9,0.311,0.0133,27.925140261245566
534,2004-06-08,0.062,160.0,9.2,12.0,0.032,0.002,7.7,18.0,0.329,0.0184,36.82273632858076
535,2004-06-08,0.062,206.0,8.7,12.0,0.033,0.0033,7.6,17.4,0.346,0.0209,37.8362397292047
539,2004-07-06,0.01,209.5,8.4,36.0,0.02,0.002,7.199999999999999,20.85,0.225,0.0137,16.046805267616012
540,2004-07-06,0.0125,181.0,8.5,36.0,0.02,0.002,7.3,20.9,0.23249999999999998,0.0135,16.769628909116395
541,2004-07-06,0.015,209.5,8.4,36.0,0.02,0.002,7.199999999999999,20.85,0.24,0.0133,17.460045259713873
542,2004-07-06,0.0125,238.0,8.3,36.0,0.02,0.002,7.1,20.8,0.23249999999999998,0.0135,16.737221618213496
547,2004-08-03,0.026,541.0,7.35,45.0,0.02,0.002,7.25,22.9,0.27,0.0176,22.155142033658358
548,2004-08-03,0.027999999999999997,538.0,7.4,45.0,0.02,0.002,7.2,22.9,0.2495,0.01455,21.799715775499863
549,2004-08-03,0.03,541.0,7.35,45.0,0.02,0.002,7.25,22.9,0.229,0.0115,21.438716563793566
550,2004-08-03,0.027999999999999997,544.0,7.3,45.0,0.02,0.002,7.3,22.9,0.2495,0.01455,21.794142821952057
557,2004-09-07,0.01,427.5,7.8999999999999995,18.0,0.02,0.002,7.6,21.049999999999997,0.227,0.0138,16.064567767112816
558,2004-09-07,0.01,406.0,8.2,18.0,0.02,0.002,7.7,21.2,0.227,0.01405,16.182104593508726
559,2004-09-07,0.01,449.0,7.6,18.0,0.02,0.002,7.5,20.9,0.227,0.01405,16.097242454491706
560,2004-09-07,0.01,427.5,7.8999999999999995,18.0,0.02,0.002,7.6,21.049999999999997,0.227,0.0143,16.214779280887612
564,2004-10-04,0.021,300.5,7.9,56.0,0.026,0.0045,7.0,17.5,0.222,0.0155,21.461511948516392
565,2004-10-04,0.0225,295.0,8.0,56.0,0.026,0.0051,7.0,17.5,0.22899999999999998,0.016149999999999998,22.138983255485286
566,2004-10-04,0.024,300.5,7.9,56.0,0.026,0.0057,7.0,17.5,0.236,0.0168,22.7969590666471
567,2004-10-04,0.0225,306.0,7.8,56.0,0.026,0.0051,7.0,17.5,0.22899999999999998,0.016149999999999998,22.119487759678208
571,2004-11-01,0.04,205.5,8.45,42.0,0.035,0.0077,7.1,13.2,0.265,0.0197,31.052962267351358
572,2004-11-01,0.0405,203.0,8.4,42.0,0.037500000000000006,0.0076500000000000005,7.2,13.2,0.2475,0.0186,31.585764414178804
573,2004-11-01,0.041,205.5,8.45,42.0,0.04,0.0076,7.1,13.2,0.23,0.0175,32.120348594066854
574,2004-11-01,0.0405,208.0,8.5,42.0,0.037500000000000006,0.0076500000000000005,7.0,13.2,0.2475,0.0186,31.587546447239404
575,2004-12-13,0.026,101.66666666666667,9.166666666666666,270.0,0.149,0.0054,7.733333333333333,9.3,0.302,0.0166,60.106021596672974
576,2004-12-13,0.016,101.66666666666667,9.166666666666666,250.0,0.15,0.0048,7.733333333333333,9.3,0.343,0.0137,56.60601770483472
577,2004-12-13,0.01933333333333333,101.0,9.1,260.0,0.14933333333333332,0.005033333333333333,7.7,9.3,0.3393333333333333,0.014533333333333334,57.64627181930958
578,2004-12-13,0.01933333333333333,101.0,9.2,260.0,0.14933333333333332,0.005033333333333333,7.7,9.3,0.3393333333333333,0.014533333333333334,57.65620315906329
579,2004-12-13,0.016,101.66666666666667,9.166666666666666,260.0,0.149,0.0049,7.733333333333333,9.3,0.373,0.0133,56.250863700788784
580,2004-12-13,0.01933333333333333,103.0,9.2,260.0,0.14933333333333332,0.005033333333333333,7.8,9.3,0.3393333333333333,0.014533333333333334,57.660428023923615
581,2005-01-03,0.015,143.5,9.75,41.0,0.208,0.0053,7.55,7.6,0.36,0.0191,75.30691552556232
582,2005-01-03,0.015,132.0,9.8,41.0,0.2075,0.005350000000000001,7.5,7.6,0.377,0.0199,75.43561263121588
583,2005-01-03,0.015,143.5,9.75,41.0,0.207,0.0054,7.55,7.6,0.394,0.0207,75.55930424904035
584,2005-01-03,0.015,155.0,9.7,41.0,0.2075,0.005350000000000001,7.6,7.6,0.377,0.0199,75.4306071433868
585,2005-02-07,0.01,149.66666666666666,10.466666666666667,380.0,0.198,0.0046,7.5,7.8,0.417,0.021,71.61932418331007
586,2005-02-07,0.01,149.66666666666666,10.466666666666667,440.0,0.196,0.0046,7.5,7.8,0.399,0.0192,70.45005427022073
587,2005-02-07,0.010666666666666666,107.0,10.6,410.0,0.19699999999999998,0.004666666666666666,7.5,7.8,0.3983333333333334,0.019033333333333333,70.90697141589952
588,2005-02-07,0.010666666666666666,108.0,10.5,410.0,0.19699999999999998,0.004666666666666666,7.5,7.8,0.3983333333333334,0.019033333333333333,70.8970734564822
589,2005-02-07,0.012,149.66666666666666,10.466666666666667,410.0,0.197,0.0048,7.5,7.8,0.379,0.0169,70.61608311821142
590,2005-02-07,0.010666666666666666,234.0,10.3,410.0,0.19699999999999998,0.004666666666666666,7.5,7.8,0.3983333333333334,0.019033333333333333,70.88141669936049
591,2005-03-07,0.031,189.0,11.850000000000001,31.0,0.111,0.0021,7.7,8.95,0.39,0.0187,51.17405036061112
592,2005-03-07,0.0245,181.0,11.9,31.0,0.111,0.0020499999999999997,7.7,9.1,0.36450000000000005,0.01685,48.62561257386641
593,2005-03-07,0.018,189.0,11.850000000000001,31.0,0.111,0.002,7.7,8.95,0.339,0.015,46.04938428616563
594,2005-03-07,0.0245,197.0,11.8,31.0,0.111,0.0020499999999999997,7.7,8.8,0.36450000000000005,0.01685,48.59782207291034
