collectdate,Ammonia_Nitrogen,Conductivity,Dissolved_Oxygen,Fecal_Coliform,Nitrate_Nitrite,Orthophosphate_Phosphate,pH,Temperature,Total_Nitrogen,Total_Phosphorous,WQI
1994-05-03,0.02,106.3,8.51,0,0.284333333333333,0.002,7.2,7.7,0.46,0.0093333333333333,96.8365903282392
1994-05-03,0.02,106.4,8.31,0,0.326,0.002,7.1,7.6,0.51,0.012,110.229509572981
1994-05-24,0.02,114.1,10.21,0,0.264,0.002,8.4,17.7,0.428,0.015,93.195723863566
1994-05-24,0.02,114.2,10.16,0,0.278666666666667,0.002,8.5,16.8,0.438,0.016,97.8672300380131
1994-05-24,0.02,113.7,10.56,0,0.278666666666667,0.002,8.5,15.8,0.438,0.016,97.8456278849108
1994-05-24,0.02,113.4,10.77,0,0.278666666666667,0.002,8.6,15.2,0.438,0.016,97.8338452953109
1994-05-24,0.02,113.1,11.09,0,0.278666666666667,0.002,8.6,14.2,0.438,0.016,97.8043047464729
1994-05-24,0.02,112.4,11.55,0,0.278666666666667,0.002,8.6,13,0.438,0.016,97.7763925567658
1994-05-24,0.02,112.1,11.63,0,0.278666666666667,0.002,8.6,12.4,0.438,0.016,97.7475411212985
1994-05-24,0.02,111.5,11.89,0,0.278666666666667,0.002,8.6,11.7,0.438,0.016,97.7304250010921
1994-05-24,0.02,111.4,11.85,0,0.278666666666667,0.002,8.5,11.3,0.438,0.016,97.6977666941899
1994-05-24,0.02,111.3,11.89,0,0.312,0.002,8.5,10.8,0.47,0.016,107.751942072192
1994-05-24,0.02,110.7,11.61,0,0.278666666666667,0.002,8.2,9.6,0.438,0.016,97.5572054026698
1994-05-24,0.02,110.2,9.83,0,0.278666666666667,0.002,7.5,8.4,0.438,0.016,97.2777311492342
1994-05-24,0.02,109.5,5.55,0,0.278666666666667,0.002,7,7.8,0.438,0.016,96.7950694274331
1994-05-24,0.02,109.2,4.67,0,0.26,0.002,6.8,7.7,0.416,0.017,91.3398448836779
1994-06-07,0.02,108.4,9.8,0,0.247,0.002,8.2,17.2,0.44,0.01,86.5315721295137
1994-06-07,0.02,108.6,9.82,0,0.242333333333333,0.002,8.2,17,0.442,0.0173333333333333,87.3266035246568
1994-06-07,0.02,108.6,9.89,0,0.242333333333333,0.002,8.1,16.9,0.442,0.0173333333333333,87.3232662761019
1994-06-07,0.02,110.2,9.83,0,0.242333333333333,0.002,8.1,14.4,0.442,0.0173333333333333,87.1640838259157
1994-06-07,0.02,106.2,10.44,0,0.242333333333333,0.002,7.8,12,0.442,0.0173333333333333,87.0649111918278
1994-06-07,0.02,105.9,10.47,0,0.242333333333333,0.002,7.7,11.8,0.442,0.0173333333333333,87.0514603110757
1994-06-07,0.02,105.6,10.4,0,0.266,0.002,7.8,11.5,0.489,0.032,98.6445340109762
1994-06-07,0.02,104.5,10.61,0,0.242333333333333,0.002,7.5,9.9,0.442,0.0173333333333333,86.9405106841819
1994-06-07,0.02,104.7,10.17,0,0.242333333333333,0.002,7.3,9.6,0.442,0.0173333333333333,86.8701100103731
1994-06-07,0.02,104.4,9.45,0,0.242333333333333,0.002,7.1,8.9,0.442,0.0173333333333333,86.7473605663063
1994-06-07,0.02,104.7,9.35,0,0.242333333333333,0.002,7,8.8,0.442,0.0173333333333333,86.727150054271
1994-06-07,0.02,104.4,9.24,0,0.242333333333333,0.002,7.3,8.6,0.442,0.0173333333333333,86.7164277146139
1994-06-07,0.02,104.1,8.5,0,0.242333333333333,0.002,6.9,8.3,0.442,0.0173333333333333,86.6079001230007
1994-06-07,0.02,103.7,6.55,0,0.242333333333333,0.002,6.8,8.1,0.442,0.0173333333333333,86.3978053770916
1994-06-07,0.02,102.8,3.77,0,0.242333333333333,0.002,6.8,7.9,0.442,0.0173333333333333,86.109421925246
1994-06-07,0.02,102.9,3.49,0,0.214,0.002,6.7,7.9,0.397,0.01,75.2684892290705
1994-07-06,0.02,115.4,9.97,0,0.14,0.002,8.8,19.3,0.348,0.011,54.6656125661433
1994-07-06,0.02,115.6,9.93,0,0.198,0.0030333333333333,8.8,19,0.377666666666667,0.0133333333333333,72.8430863140864
1994-07-06,0.02,115.8,9.95,0,0.198,0.0030333333333333,8.8,18.4,0.377666666666667,0.0133333333333333,72.8082927649351
1994-07-06,0.02,115.2,9.97,0,0.198,0.0030333333333333,8.8,17.8,0.377666666666667,0.0133333333333333,72.7734725115146
1994-07-06,0.02,114.6,10.3,0,0.233,0.002,8.5,16.3,0.4,0.01,82.2493571324962
1994-07-06,0.02,114.1,10.13,0,0.198,0.0030333333333333,8.5,15.9,0.377666666666667,0.0133333333333333,72.660361062485
1994-07-06,0.02,113.9,10.01,0,0.198,0.0030333333333333,8.3,15.6,0.377666666666667,0.0133333333333333,72.6217273237535
1994-07-06,0.02,113.1,9.62,0,0.198,0.0030333333333333,7.9,14.8,0.377666666666667,0.0133333333333333,72.5172873201357
1994-07-06,0.02,112.7,9.33,0,0.198,0.0030333333333333,7.5,13.7,0.377666666666667,0.0133333333333333,72.4043987618215
1994-07-06,0.02,112.5,9.12,0,0.198,0.0030333333333333,7.3,13.4,0.377666666666667,0.0133333333333333,72.3568268173117
1994-07-06,0.02,111.6,7.97,0,0.198,0.0030333333333333,7,12.2,0.377666666666667,0.0133333333333333,72.15653906894
1994-07-06,0.02,110.6,7.43,0,0.198,0.0030333333333333,6.8,11.1,0.377666666666667,0.0133333333333333,72.0271183414148
1994-07-06,0.02,110.4,7.17,0,0.198,0.0030333333333333,7.5,9.8,0.377666666666667,0.0133333333333333,71.950692842767
1994-07-06,0.02,110.1,5.91,0,0.198,0.0030333333333333,6.7,9.2,0.377666666666667,0.0133333333333333,71.7554966210998
1994-07-06,0.02,109,4.83,0,0.198,0.0030333333333333,6.7,8.6,0.377666666666667,0.0133333333333333,71.6114149402204
1994-07-06,0.02,108.3,3.13,0,0.198,0.0030333333333333,6.9,8.3,0.377666666666667,0.0133333333333333,71.4324817599623
1994-07-06,0.02,107.9,1.77,0,0.221,0.0051,6.8,8.2,0.385,0.019,79.9393740816747
1994-08-02,0.02,117.1,9.07,0,0.05,0.002,9.1,23.8,0.302,0.016,29.2327344574155
1994-08-02,0.02,116.2,10.03,0,0.128,0.002,9.2,23.7,0.386666666666667,0.01,51.1331678957318
1994-08-02,0.02,109,10.26,0,0.129,0.002,8.3,15.1,0.441,0.007,50.1035816362017
1994-08-02,0.02,109.7,8.52,0,0.128,0.002,7.3,12.9,0.386666666666667,0.01,50.241826836653
1994-08-02,0.02,107.8,7.33,0,0.128,0.002,7.2,11.5,0.386666666666667,0.01,50.0335872160287
1994-08-02,0.02,105.8,5.91,0,0.128,0.002,7.5,10,0.386666666666667,0.01,49.8130035104926
1994-08-02,0.02,106.6,6.21,0,0.128,0.002,7,10.6,0.386666666666667,0.01,49.8588202062545
1994-08-02,0.02,105.6,4.49,0,0.128,0.002,7,9.5,0.386666666666667,0.01,49.6205258780106
1994-08-02,0.02,105.1,3.93,0,0.128,0.002,7,9.1,0.386666666666667,0.01,49.5403693564421
1994-08-02,0.02,105.5,3.19,0,0.128,0.002,6.9,8.9,0.386666666666667,0.01,49.4504705258219
1994-08-02,0.02,105.2,3.26,0,0.128,0.002,6.9,8.7,0.386666666666667,0.01,49.4451502851588
1994-08-02,0.02,105.9,2.32,0,0.128,0.002,7.1,8.6,0.386666666666667,0.01,49.3540041838896
1994-08-02,0.02,109.1,0.82,0,0.205,0.002,7,8.4,0.417,0.007,71.4833082291672
1994-09-07,0.06,106.6,9.42,0,0.05,0.002,9,21,0.275,0.067,56.373481436724
1994-09-07,0.0546666666666666,106.7,9.28,0,0.106666666666667,0.002,9,21,0.331,0.0766666666666666,74.8022167570078
1994-09-07,0.054,103.7,9.15,0,0.05,0.002,8.6,19,0.275,0.105,65.8208528373524
1994-09-07,0.0546666666666666,100.2,1.84,0,0.106666666666667,0.002,7.2,9.8,0.331,0.0766666666666666,73.3015810259423
1994-09-07,0.0546666666666666,104.9,0.22,0,0.106666666666667,0.002,6.9,8.5,0.331,0.0766666666666666,73.0486718284171
1994-09-07,0.05,104.42,5.982,0,0.22,0.002,8.14,15.86,0.443,0.058,101.395442578157
1994-10-04,0.02,111.6,8.89,1,0.05,0.002,8.8,19.3,0.248,0.015,28.5133846209627
1994-10-04,0.02,111.7,8.86,1,0.05,0.002,8.8,19.1,0.272,0.014,28.2477938697224
1994-10-04,0.02,111.7,9.43,1,0.05,0.002,8.8,19,0.227,0.016,28.8052352831136
1994-10-04,0.0551666666666666,106.8,7.53,1,0.0748333333333333,0.0025166666666666,7.7,15.8,0.300333333333333,0.026,49.5632563673605
1994-10-04,0.0551666666666666,105.4,5.55,1,0.0748333333333333,0.0025166666666666,7.3,13.4,0.300333333333333,0.026,49.2027907183386
1994-10-04,0.0551666666666666,104.7,3.76,1,0.0748333333333333,0.0025166666666666,7.1,11.9,0.300333333333333,0.026,48.9247139292134
1994-10-04,0.0551666666666666,104.3,3.09,1,0.0748333333333333,0.0025166666666666,7,10.9,0.300333333333333,0.026,48.7926916745926
1994-10-04,0.02,104.2,1.67,1,0.199,0.002,6.9,10.2,0.377,0.016,72.491745511576
1994-10-04,0.0551666666666666,104.3,0.75,1,0.0748333333333333,0.0025166666666666,6.8,9.3,0.300333333333333,0.026,48.4538848008626
1994-10-04,0.107,108.7,0.21,1,0.05,0.0031,6.8,8.6,0.304,0.037,59.7882194422594
1994-10-04,0.144,118.7,0.2,1,0.05,0.004,6.8,8.4,0.374,0.058,77.3566877458517
1994-11-01,0.02,107.4,8.79,4,0.05,0.002,7.5,13.3,0.26,0.021,29.9094607387602
1994-11-01,0.02,108,8.74,4,0.05,0.002,7.4,13.3,0.283,0.027,31.7508793917622
1994-11-01,0.02,108.5,8.68,4,0.05,0.002,7.4,13.3,0.239,0.022,30.1510262152456
1994-11-01,0.179,108.8,7.94,4,0.05,0.0036,7.3,13.1,0.26,0.031,80.5952314402037
1994-11-01,0.111333333333333,109.3,7.5,4,0.0499999999999999,0.0231833333333333,7.2,12.9,0.308666666666667,0.0615,69.7062706710653
1994-11-01,0.111333333333333,111.4,2.61,4,0.0499999999999999,0.0231833333333333,6.9,11.4,0.308666666666667,0.0615,69.1162577103296
1994-11-01,0.111333333333333,114.3,0.45,4,0.0499999999999999,0.0231833333333333,6.7,9.2,0.308666666666667,0.0615,68.7586375579624
1994-11-01,0.111333333333333,116.1,0.24,4,0.0499999999999999,0.0231833333333333,6.6,8.8,0.308666666666667,0.0615,68.7091593961181
1994-11-01,0.191,117.9,0.2,4,0.05,0.048,6.6,8.6,0.391,0.128,113.074806880308
1994-11-01,0.238,119.2,0.18,4,0.05,0.0815,6.6,8.6,0.419,0.14,131.258805077827
1994-12-07,0.02,112.24,9.044,2,0.147,0.011,7.2,8.2,0.32,0.026,60.485836077181
1994-12-07,0.02,112.3,9.05,2,0.149333333333333,0.0112333333333333,7.2,8.2,0.328333333333333,0.0296666666666666,62.3091616658132
1994-12-07,0.02,112.5,9,2,0.15,0.0115,7.2,8.2,0.361,0.036,64.4785198972832
1994-12-07,0.02,112,9.06,2,0.149333333333333,0.0112333333333333,7.2,8.2,0.328333333333333,0.0296666666666666,62.3101447856877
1994-12-07,0.02,112.1,9.05,2,0.149333333333333,0.0112333333333333,7.2,8.2,0.328333333333333,0.0296666666666666,62.3091549897459
1994-12-07,0.02,112.3,9.06,2,0.151,0.0112,7.2,8.2,0.304,0.027,61.9585652799358
1995-01-17,0.02,90.2,10.63,1,0.312,0.01,7.6,6.4,0.529,0.023,109.641263705219
1995-01-17,0.02,92.9,10.59,1,0.312,0.0097,7.6,6.4,0.536,0.025,110.249226172167
1995-01-17,0.02,93.3,10.54,1,0.319,0.0089,7.5,6.4,0.528,0.029,113.518465348204
1995-02-08,0.02,108.9,11.26,0,0.356,0.0095,8,7.4,0.58,0.026,124.002507412026
1995-02-08,0.02,110.3,11.07,0,0.375,0.0097,7.9,6.9,0.549,0.027,129.895060617251
1995-02-08,0.02,109.9,10.58,0,0.373,0.0111,7.7,6.5,0.577,0.026,128.987513358753
1995-03-07,0.02,99.8,11.16,3,0.449,0.0059,7.6,7.2,0.644,0.028,152.594320300395
1995-03-07,0.02,100.9,10.85,3,0.435,0.0066,7.5,6.9,0.67,0.03,148.998597075574
1995-03-07,0.02,101.3,11.25,3,0.41,0.007,7.5,6.7,0.634,0.029,141.144775917597
1995-04-04,0.02,99.9,13.32,0,0.484,0.0066,8.8,10.2,0.67,0.018,160.615406349856
1995-04-04,0.02,100.4,13.26,0,0.502833333333333,0.0059666666666666,8.8,10.2,0.6465,0.0205,166.961850738119
1995-04-04,0.02,100.6,13.26,0,0.471,0.0051,8.8,10.2,0.706,0.015,155.85978284668
1995-04-04,0.02,100.7,13.26,0,0.502833333333333,0.0059666666666666,8.7,10.1,0.6465,0.0205,166.951571565838
1995-04-04,0.02,100.6,13.25,0,0.502833333333333,0.0059666666666666,8.7,9.6,0.6465,0.0205,166.919919682854
1995-04-04,0.02,100.3,13.21,0,0.502833333333333,0.0059666666666666,8.6,9.3,0.6465,0.0205,166.89338578208
1995-04-04,0.02,100.1,13.12,0,0.502833333333333,0.0059666666666666,8.6,9.2,0.6465,0.0205,166.878309818039
1995-04-04,0.02,100.2,12.76,0,0.483,0.0037,8.4,8.9,0.593,0.031,163.873048766554
1995-04-04,0.02,100.2,11.26,0,0.536,0.0032,7.7,7.9,0.69,0.016,175.246095994711
1995-04-04,0.02,100.5,10.28,0,0.506,0.009,7.5,7.6,0.624,0.021,167.543497990291
1995-04-04,0.02,100.3,9.96,0,0.537,0.0082,7.4,7.6,0.596,0.022,177.053060678839
1995-04-18,0.02,102.8,13.1,4,0.411,0.002,9.1,11.2,0.529,0.009,135.683968393943
1995-04-18,0.02,102.2,13.19,4,0.319,0.002,9.1,10.4,0.497,0.011,108.539004761709
1995-04-18,0.02,102.2,12.92,4,0.335,0.002,8.9,10.3,0.555,0.012,113.725938041576
1995-04-18,0.02,102.2,11.91,4,0.366,0.002,8.3,9.2,0.559,0.012,122.854699918931
1995-04-18,0.02,102.1,11.2,4,0.486,0.002,7.7,8.6,0.578,0.012,158.81285140577
1995-04-18,0.02,102,10.14,4,0.432,0.002,7.4,8.1,0.593,0.014,143.073742775602
1995-05-02,0.02,104.1,12.36,0,0.285,0.002,9,13.9,0.462,0.0139,99.2502328297011
1995-05-02,0.02,104.2,12.27,0,0.340666666666667,0.002,9.1,13.8,0.543833333333333,0.02005,117.981201649157
1995-05-02,0.02,104.1,12.41,0,0.293,0.002,9.1,13.7,0.563,0.0139,101.861192033262
1995-05-02,0.02,104.1,12.43,0,0.340666666666667,0.002,9.1,13.7,0.543833333333333,0.02005,117.990957372534
1995-05-02,0.02,104.1,12.41,0,0.340666666666667,0.002,9.1,13.6,0.543833333333333,0.02005,117.982840022388
1995-05-02,0.02,104,12.57,0,0.340666666666667,0.002,9.1,13.6,0.543833333333333,0.02005,117.998726827961
1995-05-02,0.02,104.4,12.72,0,0.340666666666667,0.002,9.1,13.2,0.543833333333333,0.02005,117.989112860946
1995-05-02,0.02,103.9,124.4,0,0.301,0.002,9.1,12.8,0.505,0.0215,117.493708517959
1995-05-02,0.02,103.7,13.75,0,0.340666666666667,0.002,9.2,12.2,0.543833333333333,0.02005,118.034229576413
1995-05-02,0.02,103.4,14.2,0,0.340666666666667,0.002,9.2,11.5,0.543833333333333,0.02005,118.035993015839
1995-05-02,0.02,102.6,13.96,0,0.340666666666667,0.002,9.1,10.8,0.543833333333333,0.02005,117.965055416609
1995-05-02,0.02,103.1,13.67,0,0.340666666666667,0.002,9.1,10.7,0.543833333333333,0.02005,117.930140139297
1995-05-02,0.02,102.4,13.02,0,0.335,0.002,8.9,10.3,0.517,0.0146,114.43703826542
1995-05-02,0.02,102.6,12.77,0,0.340666666666667,0.002,8.8,10.2,0.543833333333333,0.02005,117.797611667808
1995-05-02,0.02,102.3,11.96,0,0.340666666666667,0.002,8.3,9.5,0.543833333333333,0.02005,117.653449705401
1995-05-02,0.02,102.6,10.39,0,0.41,0.002,7.7,8.8,0.657,0.0258,140.222530141017
1995-05-02,0.02,102.8,8.38,0,0.42,0.002,7.3,8.2,0.559,0.0306,144.211304225433
1995-05-16,0.02,106.9,10.6,0,0.292,0.002,8.8,16.6,0.64,0.008,99.934579298557
1995-05-16,0.02,106.8,10.62,0,0.336833333333333,0.0020833333333333,8.8,16.5,0.576833333333333,0.0093333333333333,113.669179541853
1995-05-16,0.02,106.7,10.67,0,0.336833333333333,0.0020833333333333,8.8,16.4,0.576833333333333,0.0093333333333333,113.668010791502
1995-05-16,0.02,106.6,10.78,0,0.293,0.002,8.8,16.2,0.506,0.006,99.3479380223805
1995-05-16,0.02,106.7,10.57,0,0.336833333333333,0.0020833333333333,8.8,16.2,0.576833333333333,0.0093333333333333,113.645817287358
1995-05-16,0.02,106.2,10.79,0,0.336833333333333,0.0020833333333333,8.8,14.9,0.576833333333333,0.0093333333333333,113.587945476115
1995-05-16,0.02,106.1,11.09,0,0.336833333333333,0.0020833333333333,8.8,14.6,0.576833333333333,0.0093333333333333,113.599342910757
1995-05-16,0.02,106.2,11.08,0,0.336833333333333,0.0020833333333333,8.8,14.6,0.576833333333333,0.0093333333333333,113.598353114816
1995-05-16,0.02,105.8,11.19,0,0.303,0.002,8.8,13.8,0.52,0.006,102.274921908265
1995-05-16,0.02,105.7,11.38,0,0.336833333333333,0.0020833333333333,8.8,13.5,0.576833333333333,0.0093333333333333,113.560688539765
1995-05-16,0.02,105.5,11.59,0,0.336833333333333,0.0020833333333333,8.7,12.3,0.576833333333333,0.0093333333333333,113.503806586654
1995-05-16,0.02,104.7,11.11,0,0.336833333333333,0.0020833333333333,8.3,10.5,0.576833333333333,0.0093333333333333,113.329117555309
1995-05-16,0.02,104.4,10.59,0,0.336833333333333,0.0020833333333333,7.9,9.9,0.576833333333333,0.0093333333333333,113.224045664569
1995-05-16,0.02,104.3,10.37,0,0.371,0.002,7.6,9.6,0.538,0.01,123.554043011359
1995-05-16,0.02,104.3,9.64,0,0.336833333333333,0.0020833333333333,7.4,9.2,0.576833333333333,0.0093333333333333,113.065986502574
1995-05-16,0.02,104.8,8.12,0,0.336833333333333,0.0020833333333333,7.2,8.8,0.576833333333333,0.0093333333333333,112.882206291331
1995-05-16,0.02,103.9,7.29,0,0.396,0.002,7,8.3,0.68,0.013,131.85158695804
1995-05-16,0.02,103.9,5.95,0,0.366,0.0025,6.9,8.2,0.577,0.013,122.486649537482
1995-06-05,0.02,104.6,9.88,0,0.221,0.002,8.6,21,0.459,0.005,77.5155291916254
1995-06-05,0.02,104.4,9.94,0,0.296166666666667,0.0022,8.7,20.6,0.5285,0.0083333333333333,101.231721977895
1995-06-05,0.02,104.3,10.01,0,0.219,0.002,8.7,20.3,0.476,0.018,80.8297903584921
1995-06-05,0.02,104.1,10.04,0,0.296166666666667,0.0022,8.7,20,0.5285,0.0083333333333333,101.204856810378
1995-06-05,0.02,102.8,10.6,0,0.296166666666667,0.0022,8.6,16.8,0.5285,0.0083333333333333,101.060076184138
1995-06-05,0.02,101.7,11.34,0,0.296166666666667,0.0022,8.7,15.5,0.5285,0.0083333333333333,101.057985415599
1995-06-05,0.02,101,11.19,0,0.296166666666667,0.0022,8.5,13.9,0.5285,0.0083333333333333,100.93665151624
1995-06-05,0.02,100.3,10.29,0,0.299,0.002,7.8,11.6,0.555,0.008,101.481064839232
1995-06-05,0.02,100.4,10.12,0,0.296166666666667,0.0022,7.7,11.4,0.5285,0.0083333333333333,100.643824264301
1995-06-05,0.02,100.2,9.77,0,0.296166666666667,0.0022,7.5,11.1,0.5285,0.0083333333333333,100.582348444136
1995-06-05,0.02,100.7,9.62,0,0.296166666666667,0.0022,7.4,10.9,0.5285,0.0083333333333333,100.551047856096
1995-06-05,0.02,100.5,9.07,0,0.296166666666667,0.0022,7.3,10.3,0.5285,0.0083333333333333,100.455474214026
1995-06-05,0.02,100.1,9.72,0,0.316,0.002,7.3,9.6,0.564,0.005,105.50573618665
1995-06-05,0.02,99.7,7.48,0,0.296166666666667,0.0022,7.1,9,0.5285,0.0083333333333333,100.209518930765
1995-06-05,0.02,99.3,5.54,0,0.36,0.002,6.9,8.5,0.566,0.008,119.130559996662
1995-06-05,0.02,99.1,5.18,0,0.362,0.0032,6.8,8.4,0.551,0.006,119.067637551051
1995-07-10,0.02,112.4,10.86,4,0.05,0.002,9.1,21.3,0.329,0.0127,28.3226641879749
1995-07-10,0.02,111.1,11.15,4,0.05,0.002,9.1,21.1,0.34,0.0146,28.932912248049
1995-07-10,0.0216666666666666,110,12.3,4,0.228333333333333,0.00335,9.1,19.2,0.441166666666667,0.01725,84.030145285891
1995-07-10,0.0216666666666666,106.3,11.43,4,0.228333333333333,0.00335,8.6,14.8,0.441166666666667,0.01725,83.6530609852763
1995-07-10,0.0216666666666666,104.8,9.18,4,0.228333333333333,0.00335,7.7,11.3,0.441166666666667,0.01725,83.1775449558043
1995-07-10,0.02,104.7,8.23,4,0.356,0.002,7.4,10.3,0.558,0.006,117.710474321473
1995-07-10,0.0216666666666666,104.1,7.22,4,0.228333333333333,0.00335,7.2,9.6,0.441166666666667,0.01725,82.8578484121454
1995-07-10,0.0216666666666666,103.9,6.78,4,0.228333333333333,0.00335,7.1,9.4,0.441166666666667,0.01725,82.7977235725845
1995-07-10,0.02,103.4,4.84,4,0.397,0.002,7,8.8,0.554,0.0083,130.265131868511
1995-07-10,0.02,103.7,1.25,4,0.292,0.0043,6.7,8.3,0.453,0.0282,104.116402962491
1995-07-10,0.03,104.1,0.92,4,0.225,0.0078,6.6,8.3,0.413,0.0337,88.5663072533181
1995-08-01,0.02,105.7,10.04,0,0.05,0.002,9.1,22.7,0.315,0.011,27.7862523986202
1995-08-01,0.02,104.2,9.07,0,0.05,0.002,9.1,22.2,0.347,0.009,27.1251275392199
1995-08-01,0.0213333333333333,102.3,11.28,0,0.214666666666667,0.0033666666666666,9,19.6,0.455833333333333,0.0156666666666666,79.2975021961342
1995-08-01,0.0213333333333333,102.4,10.63,0,0.214666666666667,0.0033666666666666,9,19,0.455833333333333,0.0156666666666666,79.1961653325994
1995-08-01,0.0213333333333333,102,10.72,0,0.214666666666667,0.0033666666666666,8.9,17.9,0.455833333333333,0.0156666666666666,79.1334901779119
1995-08-01,0.0213333333333333,100.6,10.3,0,0.214666666666667,0.0033666666666666,8.7,16.7,0.455833333333333,0.0156666666666666,79.0098426237616
1995-08-01,0.0213333333333333,100.4,9.54,0,0.214666666666667,0.0033666666666666,8.1,15.2,0.455833333333333,0.0156666666666666,78.8174429075176
1995-08-01,0.02,99.9,9.16,0,0.218,0.002,7.7,13.5,0.495,0.016,79.4251025327972
1995-08-01,0.0213333333333333,99.2,8.32,0,0.214666666666667,0.0033666666666666,7.5,11.8,0.455833333333333,0.0156666666666666,78.4628350863673
1995-08-01,0.0213333333333333,99,7.71,0,0.214666666666667,0.0033666666666666,7.4,11.1,0.455833333333333,0.0156666666666666,78.3551715582506
1995-08-01,0.0213333333333333,99,7.44,0,0.214666666666667,0.0033666666666666,7.3,10.5,0.455833333333333,0.0156666666666666,78.2874123435587
