CollectDate,Ammmonia Nitrogen (mg/L),Conductivity (µmhos/cm),Dissolved Oxygen (mg/L),Fecal Coliform (CFU/100ml),Nitrate Nitrite (mg/L),Orthophosphate Phosphate (mg/L),pH,Temperature (°C),Total Nitrogen (mg/L),Total Phosphorus (mg/L),WQI
3/22/94,0.02,106.3,11.71,0,0.3,0.002,8.1,7.5,0.515,0.015,103.7033235
3/22/94,0.02,106.5,11.7,0,0.3,0.002,8.1,7.5,0.515,0.015,103.702337
4/5/94,0.02,103.7,15.04,4,0.223,0.0047,9.4,10.3,0.439,0.009,79.19911312
4/5/94,0.02,104.2,15.01,4,0.286333333,0.0047,9.3,10,0.472666667,0.010333333,98.67119263
4/5/94,0.02,103.3,13.28,4,0.276,0.0047,8.7,7.9,0.454,0.009,94.80177001
4/5/94,0.02,103.3,11.83,4,0.286333333,0.0047,7.9,7.4,0.472666667,0.010333333,98.13772438
4/5/94,0.02,103.7,11.13,4,0.286333333,0.0047,7.7,7.2,0.472666667,0.010333333,98.04763998
4/5/94,0.02,103.9,9.59,4,0.36,0.0047,7.4,7.1,0.525,0.013,120.9175713
4/19/94,0.02,104.5,12.89,0,0.241,0.002,9.2,12.6,0.427,0.011,85.06863494
4/19/94,0.02,105,12.89,0,0.278,0.002,9.2,12.5,0.474333333,0.014,97.17819182
4/19/94,0.02,103.9,13.65,0,0.252,0.002,9.2,9.5,0.469,0.018,90.44926743
4/19/94,0.02,103.6,12.52,0,0.278,0.002,8.7,8.7,0.474333333,0.014,96.88762748
4/19/94,0.02,104.1,11.35,0,0.278,0.002,8,8,0.474333333,0.014,96.69942319
4/19/94,0.02,104.1,9.31,0,0.341,0.002,7.5,7.5,0.527,0.013,115.1814826
5/3/94,0.02,108.3,10.84,0,0.251,0.002,8.8,13.8,0.416,0.008,87.00212211
5/3/94,0.02,108.5,10.53,0,0.284333333,0.002,8.8,13.4,0.46,0.009333333,97.45327818
5/3/94,0.02,107,12.69,0,0.276,0.002,8.7,9.4,0.454,0.008,94.50173676
5/3/94,0.02,106.6,11.29,0,0.284333333,0.002,7.9,8.2,0.46,0.009333333,97.17245373
5/3/94,0.02,106.3,8.51,0,0.284333333,0.002,7.2,7.7,0.46,0.009333333,96.83659033
5/3/94,0.02,106.4,8.31,0,0.326,0.002,7.1,7.6,0.51,0.012,110.2295096
5/24/94,0.02,114.1,10.21,0,0.264,0.002,8.4,17.7,0.428,0.015,93.19572386
5/24/94,0.02,114.2,10.16,0,0.278666667,0.002,8.5,16.8,0.438,0.016,97.86723004
5/24/94,0.02,113.7,10.56,0,0.278666667,0.002,8.5,15.8,0.438,0.016,97.84562788
5/24/94,0.02,113.4,10.77,0,0.278666667,0.002,8.6,15.2,0.438,0.016,97.8338453
5/24/94,0.02,113.1,11.09,0,0.278666667,0.002,8.6,14.2,0.438,0.016,97.80430475
5/24/94,0.02,112.4,11.55,0,0.278666667,0.002,8.6,13,0.438,0.016,97.77639256
5/24/94,0.02,112.1,11.63,0,0.278666667,0.002,8.6,12.4,0.438,0.016,97.74754112
5/24/94,0.02,111.5,11.89,0,0.278666667,0.002,8.6,11.7,0.438,0.016,97.730425
5/24/94,0.02,111.4,11.85,0,0.278666667,0.002,8.5,11.3,0.438,0.016,97.69776669
5/24/94,0.02,111.3,11.89,0,0.312,0.002,8.5,10.8,0.47,0.016,107.7519421
5/24/94,0.02,110.7,11.61,0,0.278666667,0.002,8.2,9.6,0.438,0.016,97.5572054
5/24/94,0.02,110.2,9.83,0,0.278666667,0.002,7.5,8.4,0.438,0.016,97.27773115
5/24/94,0.02,109.5,5.55,0,0.278666667,0.002,7,7.8,0.438,0.016,96.79506943
5/24/94,0.02,109.2,4.67,0,0.26,0.002,6.8,7.7,0.416,0.017,91.33984488
6/7/94,0.02,108.4,9.8,0,0.247,0.002,8.2,17.2,0.44,0.01,86.53157213
6/7/94,0.02,108.6,9.82,0,0.242333333,0.002,8.2,17,0.442,0.017333333,87.32660352
6/7/94,0.02,108.6,9.89,0,0.242333333,0.002,8.1,16.9,0.442,0.017333333,87.32326628
6/7/94,0.02,110.2,9.83,0,0.242333333,0.002,8.1,14.4,0.442,0.017333333,87.16408383
6/7/94,0.02,106.2,10.44,0,0.242333333,0.002,7.8,12,0.442,0.017333333,87.06491119
6/7/94,0.02,105.9,10.47,0,0.242333333,0.002,7.7,11.8,0.442,0.017333333,87.05146031
6/7/94,0.02,105.6,10.4,0,0.266,0.002,7.8,11.5,0.489,0.032,98.64453401
6/7/94,0.02,104.5,10.61,0,0.242333333,0.002,7.5,9.9,0.442,0.017333333,86.94051068
6/7/94,0.02,104.7,10.17,0,0.242333333,0.002,7.3,9.6,0.442,0.017333333,86.87011001
6/7/94,0.02,104.4,9.45,0,0.242333333,0.002,7.1,8.9,0.442,0.017333333,86.74736057
6/7/94,0.02,104.7,9.35,0,0.242333333,0.002,7,8.8,0.442,0.017333333,86.72715005
6/7/94,0.02,104.4,9.24,0,0.242333333,0.002,7.3,8.6,0.442,0.017333333,86.71642771
6/7/94,0.02,104.1,8.5,0,0.242333333,0.002,6.9,8.3,0.442,0.017333333,86.60790012
6/7/94,0.02,103.7,6.55,0,0.242333333,0.002,6.8,8.1,0.442,0.017333333,86.39780538
6/7/94,0.02,102.8,3.77,0,0.242333333,0.002,6.8,7.9,0.442,0.017333333,86.10942193
6/7/94,0.02,102.9,3.49,0,0.214,0.002,6.7,7.9,0.397,0.01,75.26848923
7/6/94,0.02,115.4,9.97,0,0.14,0.002,8.8,19.3,0.348,0.011,54.66561257
7/6/94,0.02,115.6,9.93,0,0.198,0.003033333,8.8,19,0.377666667,0.013333333,72.84308631
7/6/94,0.02,115.8,9.95,0,0.198,0.003033333,8.8,18.4,0.377666667,0.013333333,72.80829276
7/6/94,0.02,115.2,9.97,0,0.198,0.003033333,8.8,17.8,0.377666667,0.013333333,72.77347251
7/6/94,0.02,114.6,10.3,0,0.233,0.002,8.5,16.3,0.4,0.01,82.24935713
7/6/94,0.02,114.1,10.13,0,0.198,0.003033333,8.5,15.9,0.377666667,0.013333333,72.66036106
7/6/94,0.02,113.9,10.01,0,0.198,0.003033333,8.3,15.6,0.377666667,0.013333333,72.62172732
7/6/94,0.02,113.1,9.62,0,0.198,0.003033333,7.9,14.8,0.377666667,0.013333333,72.51728732
7/6/94,0.02,112.7,9.33,0,0.198,0.003033333,7.5,13.7,0.377666667,0.013333333,72.40439876
7/6/94,0.02,112.5,9.12,0,0.198,0.003033333,7.3,13.4,0.377666667,0.013333333,72.35682682
7/6/94,0.02,111.6,7.97,0,0.198,0.003033333,7,12.2,0.377666667,0.013333333,72.15653907
7/6/94,0.02,110.6,7.43,0,0.198,0.003033333,6.8,11.1,0.377666667,0.013333333,72.02711834
7/6/94,0.02,110.4,7.17,0,0.198,0.003033333,7.5,9.8,0.377666667,0.013333333,71.95069284
7/6/94,0.02,110.1,5.91,0,0.198,0.003033333,6.7,9.2,0.377666667,0.013333333,71.75549662
7/6/94,0.02,109,4.83,0,0.198,0.003033333,6.7,8.6,0.377666667,0.013333333,71.61141494
7/6/94,0.02,108.3,3.13,0,0.198,0.003033333,6.9,8.3,0.377666667,0.013333333,71.43248176
7/6/94,0.02,107.9,1.77,0,0.221,0.0051,6.8,8.2,0.385,0.019,79.93937408
8/2/94,0.02,117.1,9.07,0,0.05,0.002,9.1,23.8,0.302,0.016,29.23273446
8/2/94,0.02,116.2,10.03,0,0.128,0.002,9.2,23.7,0.386666667,0.01,51.1331679
8/2/94,0.02,109,10.26,0,0.129,0.002,8.3,15.1,0.441,0.007,50.10358164
8/2/94,0.02,109.7,8.52,0,0.128,0.002,7.3,12.9,0.386666667,0.01,50.24182684
8/2/94,0.02,107.8,7.33,0,0.128,0.002,7.2,11.5,0.386666667,0.01,50.03358722
8/2/94,0.02,105.8,5.91,0,0.128,0.002,7.5,10,0.386666667,0.01,49.81300351
8/2/94,0.02,106.6,6.21,0,0.128,0.002,7,10.6,0.386666667,0.01,49.85882021
8/2/94,0.02,105.6,4.49,0,0.128,0.002,7,9.5,0.386666667,0.01,49.62052588
8/2/94,0.02,105.1,3.93,0,0.128,0.002,7,9.1,0.386666667,0.01,49.54036936
8/2/94,0.02,105.5,3.19,0,0.128,0.002,6.9,8.9,0.386666667,0.01,49.45047053
8/2/94,0.02,105.2,3.26,0,0.128,0.002,6.9,8.7,0.386666667,0.01,49.44515029
8/2/94,0.02,105.9,2.32,0,0.128,0.002,7.1,8.6,0.386666667,0.01,49.35400418
8/2/94,0.02,109.1,0.82,0,0.205,0.002,7,8.4,0.417,0.007,71.48330823
9/7/94,0.06,106.6,9.42,0,0.05,0.002,9,21,0.275,0.067,56.37348144
9/7/94,0.054666667,106.7,9.28,0,0.106666667,0.002,9,21,0.331,0.076666667,74.80221676
9/7/94,0.054,103.7,9.15,0,0.05,0.002,8.6,19,0.275,0.105,65.82085284
9/7/94,0.054666667,100.2,1.84,0,0.106666667,0.002,7.2,9.8,0.331,0.076666667,73.30158103
9/7/94,0.054666667,104.9,0.22,0,0.106666667,0.002,6.9,8.5,0.331,0.076666667,73.04867183
9/7/94,0.05,104.42,5.982,0,0.22,0.002,8.14,15.86,0.443,0.058,101.3954426
10/4/94,0.02,111.6,8.89,1,0.05,0.002,8.8,19.3,0.248,0.015,28.51338462
10/4/94,0.02,111.7,8.86,1,0.05,0.002,8.8,19.1,0.272,0.014,28.24779387
10/4/94,0.02,111.7,9.43,1,0.05,0.002,8.8,19,0.227,0.016,28.80523528
10/4/94,0.055166667,106.8,7.53,1,0.074833333,0.002516667,7.7,15.8,0.300333333,0.026,49.56325637
10/4/94,0.055166667,105.4,5.55,1,0.074833333,0.002516667,7.3,13.4,0.300333333,0.026,49.20279072
10/4/94,0.055166667,104.7,3.76,1,0.074833333,0.002516667,7.1,11.9,0.300333333,0.026,48.92471393
10/4/94,0.055166667,104.3,3.09,1,0.074833333,0.002516667,7,10.9,0.300333333,0.026,48.79269167
10/4/94,0.02,104.2,1.67,1,0.199,0.002,6.9,10.2,0.377,0.016,72.49174551
10/4/94,0.055166667,104.3,0.75,1,0.074833333,0.002516667,6.8,9.3,0.300333333,0.026,48.4538848
10/4/94,0.107,108.7,0.21,1,0.05,0.0031,6.8,8.6,0.304,0.037,59.78821944
10/4/94,0.144,118.7,0.2,1,0.05,0.004,6.8,8.4,0.374,0.058,77.35668775
11/1/94,0.02,107.4,8.79,4,0.05,0.002,7.5,13.3,0.26,0.021,29.90946074
11/1/94,0.02,108,8.74,4,0.05,0.002,7.4,13.3,0.283,0.027,31.75087939
11/1/94,0.02,108.5,8.68,4,0.05,0.002,7.4,13.3,0.239,0.022,30.15102622
11/1/94,0.179,108.8,7.94,4,0.05,0.0036,7.3,13.1,0.26,0.031,80.59523144
11/1/94,0.111333333,109.3,7.5,4,0.05,0.023183333,7.2,12.9,0.308666667,0.0615,69.70627067
11/1/94,0.111333333,111.4,2.61,4,0.05,0.023183333,6.9,11.4,0.308666667,0.0615,69.11625771
11/1/94,0.111333333,114.3,0.45,4,0.05,0.023183333,6.7,9.2,0.308666667,0.0615,68.75863756
11/1/94,0.111333333,116.1,0.24,4,0.05,0.023183333,6.6,8.8,0.308666667,0.0615,68.7091594
11/1/94,0.191,117.9,0.2,4,0.05,0.048,6.6,8.6,0.391,0.128,113.0748069
11/1/94,0.238,119.2,0.18,4,0.05,0.0815,6.6,8.6,0.419,0.14,131.2588051
12/7/94,0.02,112.24,9.044,2,0.147,0.011,7.2,8.2,0.32,0.026,60.48583608
12/7/94,0.02,112.3,9.05,2,0.149333333,0.011233333,7.2,8.2,0.328333333,0.029666667,62.30916167
12/7/94,0.02,112.5,9,2,0.15,0.0115,7.2,8.2,0.361,0.036,64.4785199
12/7/94,0.02,112,9.06,2,0.149333333,0.011233333,7.2,8.2,0.328333333,0.029666667,62.31014479
12/7/94,0.02,112.1,9.05,2,0.149333333,0.011233333,7.2,8.2,0.328333333,0.029666667,62.30915499
12/7/94,0.02,112.3,9.06,2,0.151,0.0112,7.2,8.2,0.304,0.027,61.95856528
1/17/95,0.02,90.2,10.63,1,0.312,0.01,7.6,6.4,0.529,0.023,109.6412637
1/17/95,0.02,92.9,10.59,1,0.312,0.0097,7.6,6.4,0.536,0.025,110.2492262
1/17/95,0.02,93.3,10.54,1,0.319,0.0089,7.5,6.4,0.528,0.029,113.5184653
2/8/95,0.02,108.9,11.26,0,0.356,0.0095,8,7.4,0.58,0.026,124.0025074
2/8/95,0.02,110.3,11.07,0,0.375,0.0097,7.9,6.9,0.549,0.027,129.8950606
2/8/95,0.02,109.9,10.58,0,0.373,0.0111,7.7,6.5,0.577,0.026,128.9875134
3/7/95,0.02,99.8,11.16,3,0.449,0.0059,7.6,7.2,0.644,0.028,152.5943203
3/7/95,0.02,100.9,10.85,3,0.435,0.0066,7.5,6.9,0.67,0.03,148.9985971
3/7/95,0.02,101.3,11.25,3,0.41,0.007,7.5,6.7,0.634,0.029,141.1447759
4/4/95,0.02,99.9,13.32,0,0.484,0.0066,8.8,10.2,0.67,0.018,160.6154063
4/4/95,0.02,100.4,13.26,0,0.502833333,0.005966667,8.8,10.2,0.6465,0.0205,166.9618507
4/4/95,0.02,100.6,13.26,0,0.471,0.0051,8.8,10.2,0.706,0.015,155.8597828
4/4/95,0.02,100.7,13.26,0,0.502833333,0.005966667,8.7,10.1,0.6465,0.0205,166.9515716
4/4/95,0.02,100.6,13.25,0,0.502833333,0.005966667,8.7,9.6,0.6465,0.0205,166.9199197
4/4/95,0.02,100.3,13.21,0,0.502833333,0.005966667,8.6,9.3,0.6465,0.0205,166.8933858
4/4/95,0.02,100.1,13.12,0,0.502833333,0.005966667,8.6,9.2,0.6465,0.0205,166.8783098
4/4/95,0.02,100.2,12.76,0,0.483,0.0037,8.4,8.9,0.593,0.031,163.8730488
4/4/95,0.02,100.2,11.26,0,0.536,0.0032,7.7,7.9,0.69,0.016,175.246096
4/4/95,0.02,100.5,10.28,0,0.506,0.009,7.5,7.6,0.624,0.021,167.543498
4/4/95,0.02,100.3,9.96,0,0.537,0.0082,7.4,7.6,0.596,0.022,177.0530607
4/18/95,0.02,102.8,13.1,4,0.411,0.002,9.1,11.2,0.529,0.009,135.6839684
4/18/95,0.02,102.2,13.19,4,0.319,0.002,9.1,10.4,0.497,0.011,108.5390048
4/18/95,0.02,102.2,12.92,4,0.335,0.002,8.9,10.3,0.555,0.012,113.725938
4/18/95,0.02,102.2,11.91,4,0.366,0.002,8.3,9.2,0.559,0.012,122.8546999
4/18/95,0.02,102.1,11.2,4,0.486,0.002,7.7,8.6,0.578,0.012,158.8128514
4/18/95,0.02,102,10.14,4,0.432,0.002,7.4,8.1,0.593,0.014,143.0737428
5/2/95,0.02,104.1,12.36,0,0.285,0.002,9,13.9,0.462,0.0139,99.25023283
5/2/95,0.02,104.2,12.27,0,0.340666667,0.002,9.1,13.8,0.543833333,0.02005,117.9812016
5/2/95,0.02,104.1,12.41,0,0.293,0.002,9.1,13.7,0.563,0.0139,101.861192
5/2/95,0.02,104.1,12.43,0,0.340666667,0.002,9.1,13.7,0.543833333,0.02005,117.9909574
5/2/95,0.02,104.1,12.41,0,0.340666667,0.002,9.1,13.6,0.543833333,0.02005,117.98284
5/2/95,0.02,104,12.57,0,0.340666667,0.002,9.1,13.6,0.543833333,0.02005,117.9987268
5/2/95,0.02,104.4,12.72,0,0.340666667,0.002,9.1,13.2,0.543833333,0.02005,117.9891129
5/2/95,0.02,103.9,124.4,0,0.301,0.002,9.1,12.8,0.505,0.0215,117.4937085
5/2/95,0.02,103.7,13.75,0,0.340666667,0.002,9.2,12.2,0.543833333,0.02005,118.0342296
5/2/95,0.02,103.4,14.2,0,0.340666667,0.002,9.2,11.5,0.543833333,0.02005,118.035993
5/2/95,0.02,102.6,13.96,0,0.340666667,0.002,9.1,10.8,0.543833333,0.02005,117.9650554
5/2/95,0.02,103.1,13.67,0,0.340666667,0.002,9.1,10.7,0.543833333,0.02005,117.9301401
5/2/95,0.02,102.4,13.02,0,0.335,0.002,8.9,10.3,0.517,0.0146,114.4370383
5/2/95,0.02,102.6,12.77,0,0.340666667,0.002,8.8,10.2,0.543833333,0.02005,117.7976117
5/2/95,0.02,102.3,11.96,0,0.340666667,0.002,8.3,9.5,0.543833333,0.02005,117.6534497
5/2/95,0.02,102.6,10.39,0,0.41,0.002,7.7,8.8,0.657,0.0258,140.2225301
5/2/95,0.02,102.8,8.38,0,0.42,0.002,7.3,8.2,0.559,0.0306,144.2113042
5/16/95,0.02,106.9,10.6,0,0.292,0.002,8.8,16.6,0.64,0.008,99.9345793
5/16/95,0.02,106.8,10.62,0,0.336833333,0.002083333,8.8,16.5,0.576833333,0.009333333,113.6691795
5/16/95,0.02,106.7,10.67,0,0.336833333,0.002083333,8.8,16.4,0.576833333,0.009333333,113.6680108
5/16/95,0.02,106.6,10.78,0,0.293,0.002,8.8,16.2,0.506,0.006,99.34793802
5/16/95,0.02,106.7,10.57,0,0.336833333,0.002083333,8.8,16.2,0.576833333,0.009333333,113.6458173
5/16/95,0.02,106.2,10.79,0,0.336833333,0.002083333,8.8,14.9,0.576833333,0.009333333,113.5879455
5/16/95,0.02,106.1,11.09,0,0.336833333,0.002083333,8.8,14.6,0.576833333,0.009333333,113.5993429
5/16/95,0.02,106.2,11.08,0,0.336833333,0.002083333,8.8,14.6,0.576833333,0.009333333,113.5983531
5/16/95,0.02,105.8,11.19,0,0.303,0.002,8.8,13.8,0.52,0.006,102.2749219
5/16/95,0.02,105.7,11.38,0,0.336833333,0.002083333,8.8,13.5,0.576833333,0.009333333,113.5606885
5/16/95,0.02,105.5,11.59,0,0.336833333,0.002083333,8.7,12.3,0.576833333,0.009333333,113.5038066
5/16/95,0.02,104.7,11.11,0,0.336833333,0.002083333,8.3,10.5,0.576833333,0.009333333,113.3291176
5/16/95,0.02,104.4,10.59,0,0.336833333,0.002083333,7.9,9.9,0.576833333,0.009333333,113.2240457
5/16/95,0.02,104.3,10.37,0,0.371,0.002,7.6,9.6,0.538,0.01,123.554043
5/16/95,0.02,104.3,9.64,0,0.336833333,0.002083333,7.4,9.2,0.576833333,0.009333333,113.0659865
5/16/95,0.02,104.8,8.12,0,0.336833333,0.002083333,7.2,8.8,0.576833333,0.009333333,112.8822063
5/16/95,0.02,103.9,7.29,0,0.396,0.002,7,8.3,0.68,0.013,131.851587
5/16/95,0.02,103.9,5.95,0,0.366,0.0025,6.9,8.2,0.577,0.013,122.4866495
6/5/95,0.02,104.6,9.88,0,0.221,0.002,8.6,21,0.459,0.005,77.51552919
6/5/95,0.02,104.4,9.94,0,0.296166667,0.0022,8.7,20.6,0.5285,0.008333333,101.231722
6/5/95,0.02,104.3,10.01,0,0.219,0.002,8.7,20.3,0.476,0.018,80.82979036
6/5/95,0.02,104.1,10.04,0,0.296166667,0.0022,8.7,20,0.5285,0.008333333,101.2048568
6/5/95,0.02,102.8,10.6,0,0.296166667,0.0022,8.6,16.8,0.5285,0.008333333,101.0600762
6/5/95,0.02,101.7,11.34,0,0.296166667,0.0022,8.7,15.5,0.5285,0.008333333,101.0579854
6/5/95,0.02,101,11.19,0,0.296166667,0.0022,8.5,13.9,0.5285,0.008333333,100.9366515
6/5/95,0.02,100.3,10.29,0,0.299,0.002,7.8,11.6,0.555,0.008,101.4810648
6/5/95,0.02,100.4,10.12,0,0.296166667,0.0022,7.7,11.4,0.5285,0.008333333,100.6438243
6/5/95,0.02,100.2,9.77,0,0.296166667,0.0022,7.5,11.1,0.5285,0.008333333,100.5823484
6/5/95,0.02,100.7,9.62,0,0.296166667,0.0022,7.4,10.9,0.5285,0.008333333,100.5510479
6/5/95,0.02,100.5,9.07,0,0.296166667,0.0022,7.3,10.3,0.5285,0.008333333,100.4554742
6/5/95,0.02,100.1,9.72,0,0.316,0.002,7.3,9.6,0.564,0.005,105.5057362
6/5/95,0.02,99.7,7.48,0,0.296166667,0.0022,7.1,9,0.5285,0.008333333,100.2095189
6/5/95,0.02,99.3,5.54,0,0.36,0.002,6.9,8.5,0.566,0.008,119.13056
6/5/95,0.02,99.1,5.18,0,0.362,0.0032,6.8,8.4,0.551,0.006,119.0676376
7/10/95,0.02,112.4,10.86,4,0.05,0.002,9.1,21.3,0.329,0.0127,28.32266419
7/10/95,0.02,111.1,11.15,4,0.05,0.002,9.1,21.1,0.34,0.0146,28.93291225
7/10/95,0.021666667,110,12.3,4,0.228333333,0.00335,9.1,19.2,0.441166667,0.01725,84.03014529
7/10/95,0.021666667,106.3,11.43,4,0.228333333,0.00335,8.6,14.8,0.441166667,0.01725,83.65306099
7/10/95,0.021666667,104.8,9.18,4,0.228333333,0.00335,7.7,11.3,0.441166667,0.01725,83.17754496
7/10/95,0.02,104.7,8.23,4,0.356,0.002,7.4,10.3,0.558,0.006,117.7104743
7/10/95,0.021666667,104.1,7.22,4,0.228333333,0.00335,7.2,9.6,0.441166667,0.01725,82.85784841
7/10/95,0.021666667,103.9,6.78,4,0.228333333,0.00335,7.1,9.4,0.441166667,0.01725,82.79772357
7/10/95,0.02,103.4,4.84,4,0.397,0.002,7,8.8,0.554,0.0083,130.2651319
7/10/95,0.02,103.7,1.25,4,0.292,0.0043,6.7,8.3,0.453,0.0282,104.116403
7/10/95,0.03,104.1,0.92,4,0.225,0.0078,6.6,8.3,0.413,0.0337,88.56630725
8/1/95,0.02,105.7,10.04,0,0.05,0.002,9.1,22.7,0.315,0.011,27.7862524
8/1/95,0.02,104.2,9.07,0,0.05,0.002,9.1,22.2,0.347,0.009,27.12512754
8/1/95,0.021333333,102.3,11.28,0,0.214666667,0.003366667,9,19.6,0.455833333,0.015666667,79.2975022
8/1/95,0.021333333,102.4,10.63,0,0.214666667,0.003366667,9,19,0.455833333,0.015666667,79.19616533
8/1/95,0.021333333,102,10.72,0,0.214666667,0.003366667,8.9,17.9,0.455833333,0.015666667,79.13349018
8/1/95,0.021333333,100.6,10.3,0,0.214666667,0.003366667,8.7,16.7,0.455833333,0.015666667,79.00984262
8/1/95,0.021333333,100.4,9.54,0,0.214666667,0.003366667,8.1,15.2,0.455833333,0.015666667,78.81744291
8/1/95,0.02,99.9,9.16,0,0.218,0.002,7.7,13.5,0.495,0.016,79.42510253
8/1/95,0.021333333,99.2,8.32,0,0.214666667,0.003366667,7.5,11.8,0.455833333,0.015666667,78.46283509
8/1/95,0.021333333,99,7.71,0,0.214666667,0.003366667,7.4,11.1,0.455833333,0.015666667,78.35517156
8/1/95,0.021333333,99,7.44,0,0.214666667,0.003366667,7.3,10.5,0.455833333,0.015666667,78.28741234
8/1/95,0.02,98,5.38,0,0.394,0.002,7.1,9.5,0.651,0.011,130.4772385
8/1/95,0.02,99.4,1.91,0,0.316,0.0021,6.8,8.6,0.481,0.016,107.7806683
8/1/95,0.028,102.5,0.89,0,0.26,0.0101,6.7,8.4,0.446,0.031,97.77220786
9/12/95,0.02,110.1,9.64,0,0.05,0.0034,8.8,20.5,0.205,0.0069,26.15491526
9/12/95,0.02,109.7,9.73,0,0.05,0.0031,8.8,20.3,0.121,0.005,25.40192235
9/12/95,0.0375,109.7,9.72,0,0.162166667,0.0042,8.8,20.3,0.376,0.011383333,66.81869984
9/12/95,0.0375,108.7,9.33,0,0.162166667,0.0042,8.7,19.1,0.376,0.011383333,66.70220314
9/12/95,0.02,108.2,8.91,0,0.072,0.0036,8.4,18.2,0.249,0.0062,32.41791554
9/12/95,0.0375,107.1,7.5,0,0.162166667,0.0042,7.7,16.4,0.376,0.011383333,66.31328596
9/12/95,0.0375,106.6,6.18,0,0.162166667,0.0042,7.4,14,0.376,0.011383333,66.0225553
9/12/95,0.0375,105.5,4.61,0,0.162166667,0.0042,7.1,12.4,0.376,0.011383333,65.75602492
9/12/95,0.0375,105.2,4.15,0,0.162166667,0.0042,7,11.4,0.376,0.011383333,65.64486181
9/12/95,0.02,104.3,3.89,0,0.357,0.0032,7,10.5,0.621,0.0061,117.7507319
9/12/95,0.0375,104.7,3.38,0,0.162166667,0.0042,6.9,9.9,0.376,0.011383333,65.47224947
9/12/95,0.02,105.3,0.73,0,0.321,0.0033,6.7,8.9,0.652,0.007,106.8473912
9/12/95,0.125,113.9,0.51,0,0.123,0.0086,6.7,8.6,0.408,0.0371,87.46546716
10/2/95,0.02,151,9.14,2,0.05,0.002,8.4,18.5,0.201,0.005,25.37172691
10/2/95,0.02,155,9.12,2,0.05,0.002,8.4,18.5,0.256,0.0055,25.63483058
10/2/95,0.045833333,155,5.198333333,2,0.123666667,0.003666667,8.4,18.5,0.338333333,0.023183333,60.64172617
10/2/95,0.02,154,9.14,2,0.05,0.002,8.4,18.5,0.246,0.005,25.46570925
10/2/95,0.045833333,152,5.198333333,2,0.123666667,0.003666667,8.3,18,0.338333333,0.023183333,60.60681251
10/2/95,0.045833333,147.5,5.198333333,2,0.123666667,0.003666667,7.3,13.7,0.338333333,0.023183333,60.30144473
10/2/95,0.045833333,147.5,5.198333333,2,0.123666667,0.003666667,7,12.4,0.338333333,0.023183333,60.20926634
10/2/95,0.045833333,146,5.198333333,2,0.123666667,0.003666667,6.9,11,0.338333333,0.023183333,60.11922302
10/2/95,0.02,146.8,2.84,2,0.326,0.002,6.7,10.4,0.522,0.0096,109.1470014
