,CollectDate,Ammmonia Nitrogen (mg/L),Conductivity (µmhos/cm),Dissolved Oxygen (mg/L),Fecal Coliform (CFU/100ml),Nitrate Nitrite (mg/L),Orthophosphate Phosphate (mg/L),pH,Temperature (°C),Total Nitrogen (mg/L),Total Phosphorus (mg/L)
23,1994-03-22,0.02,105.9,11.91,0.0,0.31,0.002,8.1,7.6,0.53,0.014
24,1994-03-22,0.02,106.2,11.76,0.0,0.3,0.002,8.1,7.5,0.515,0.015
25,1994-03-22,0.02,106.3,11.71,0.0,0.3,0.002,8.1,7.5,0.515,0.015
26,1994-03-22,0.02,106.5,11.7,0.0,0.3,0.002,8.1,7.5,0.515,0.015
28,1994-04-05,0.02,103.7,15.04,4.0,0.223,0.0047,9.4,10.3,0.439,0.009
29,1994-04-05,0.02,104.2,15.01,4.0,0.28633333333333333,0.0047,9.3,10.0,0.47266666666666673,0.010333333333333333
30,1994-04-05,0.02,103.3,13.28,4.0,0.276,0.0047,8.7,7.9,0.454,0.009
31,1994-04-05,0.02,103.3,11.83,4.0,0.28633333333333333,0.0047,7.9,7.4,0.47266666666666673,0.010333333333333333
32,1994-04-05,0.02,103.7,11.13,4.0,0.28633333333333333,0.0047,7.7,7.2,0.47266666666666673,0.010333333333333333
33,1994-04-05,0.02,103.9,9.59,4.0,0.36,0.0047,7.4,7.1,0.525,0.013
35,1994-04-19,0.02,104.5,12.89,0.0,0.241,0.002,9.2,12.6,0.427,0.011
36,1994-04-19,0.02,105.0,12.89,0.0,0.278,0.002,9.2,12.5,0.47433333333333333,0.013999999999999999
37,1994-04-19,0.02,103.9,13.65,0.0,0.252,0.002,9.2,9.5,0.469,0.018
38,1994-04-19,0.02,103.6,12.52,0.0,0.278,0.002,8.7,8.7,0.47433333333333333,0.013999999999999999
39,1994-04-19,0.02,104.1,11.35,0.0,0.278,0.002,8,8.0,0.47433333333333333,0.013999999999999999
40,1994-04-19,0.02,104.1,9.31,0.0,0.341,0.002,7.5,7.5,0.527,0.013
42,1994-05-03,0.02,108.3,10.84,0.0,0.251,0.002,8.8,13.8,0.416,0.008
43,1994-05-03,0.02,108.5,10.53,0.0,0.2843333333333333,0.002,8.8,13.4,0.45999999999999996,0.009333333333333334
44,1994-05-03,0.02,107.0,12.69,0.0,0.276,0.002,8.7,9.4,0.454,0.008
45,1994-05-03,0.02,106.6,11.29,0.0,0.2843333333333333,0.002,7.9,8.2,0.45999999999999996,0.009333333333333334
46,1994-05-03,0.02,106.3,8.51,0.0,0.2843333333333333,0.002,7.2,7.7,0.45999999999999996,0.009333333333333334
47,1994-05-03,0.02,106.4,8.31,0.0,0.326,0.002,7.1,7.6,0.51,0.012
49,1994-05-24,0.02,114.1,10.21,0.0,0.264,0.002,8.4,17.7,0.428,0.015
50,1994-05-24,0.02,114.2,10.16,0.0,0.2786666666666667,0.002,8.5,16.8,0.43799999999999994,0.016
51,1994-05-24,0.02,113.7,10.56,0.0,0.2786666666666667,0.002,8.5,15.8,0.43799999999999994,0.016
52,1994-05-24,0.02,113.4,10.77,0.0,0.2786666666666667,0.002,8.6,15.2,0.43799999999999994,0.016
53,1994-05-24,0.02,113.1,11.09,0.0,0.2786666666666667,0.002,8.6,14.2,0.43799999999999994,0.016
54,1994-05-24,0.02,112.4,11.55,0.0,0.2786666666666667,0.002,8.6,13.0,0.43799999999999994,0.016
55,1994-05-24,0.02,112.1,11.63,0.0,0.2786666666666667,0.002,8.6,12.4,0.43799999999999994,0.016
56,1994-05-24,0.02,111.5,11.89,0.0,0.2786666666666667,0.002,8.6,11.7,0.43799999999999994,0.016
57,1994-05-24,0.02,111.4,11.85,0.0,0.2786666666666667,0.002,8.5,11.3,0.43799999999999994,0.016
58,1994-05-24,0.02,111.3,11.89,0.0,0.312,0.002,8.5,10.8,0.47,0.016
59,1994-05-24,0.02,110.7,11.61,0.0,0.2786666666666667,0.002,8.2,9.6,0.43799999999999994,0.016
60,1994-05-24,0.02,110.2,9.83,0.0,0.2786666666666667,0.002,7.5,8.4,0.43799999999999994,0.016
61,1994-05-24,0.02,109.5,5.55,0.0,0.2786666666666667,0.002,7,7.8,0.43799999999999994,0.016
62,1994-05-24,0.02,109.2,4.67,0.0,0.26,0.002,6.8,7.7,0.416,0.017
64,1994-06-07,0.02,108.4,9.8,0.0,0.247,0.002,8.2,17.2,0.44,0.01
65,1994-06-07,0.02,108.6,9.82,0.0,0.24233333333333332,0.002,8.2,17.0,0.442,0.017333333333333336
66,1994-06-07,0.02,108.6,9.89,0.0,0.24233333333333332,0.002,8.1,16.9,0.442,0.017333333333333336
67,1994-06-07,0.02,110.2,9.83,0.0,0.24233333333333332,0.002,8.1,14.4,0.442,0.017333333333333336
68,1994-06-07,0.02,106.2,10.44,0.0,0.24233333333333332,0.002,7.8,12.0,0.442,0.017333333333333336
69,1994-06-07,0.02,105.9,10.47,0.0,0.24233333333333332,0.002,7.7,11.8,0.442,0.017333333333333336
70,1994-06-07,0.02,105.6,10.4,0.0,0.266,0.002,7.8,11.5,0.489,0.032
71,1994-06-07,0.02,104.5,10.61,0.0,0.24233333333333332,0.002,7.5,9.9,0.442,0.017333333333333336
72,1994-06-07,0.02,104.7,10.17,0.0,0.24233333333333332,0.002,7.3,9.6,0.442,0.017333333333333336
73,1994-06-07,0.02,104.4,9.45,0.0,0.24233333333333332,0.002,7.1,8.9,0.442,0.017333333333333336
74,1994-06-07,0.02,104.7,9.35,0.0,0.24233333333333332,0.002,7,8.8,0.442,0.017333333333333336
75,1994-06-07,0.02,104.4,9.24,0.0,0.24233333333333332,0.002,7.3,8.6,0.442,0.017333333333333336
76,1994-06-07,0.02,104.1,8.5,0.0,0.24233333333333332,0.002,6.9,8.3,0.442,0.017333333333333336
77,1994-06-07,0.02,103.7,6.55,0.0,0.24233333333333332,0.002,6.8,8.1,0.442,0.017333333333333336
78,1994-06-07,0.02,102.8,3.77,0.0,0.24233333333333332,0.002,6.8,7.9,0.442,0.017333333333333336
79,1994-06-07,0.02,102.9,3.49,0.0,0.214,0.002,6.7,7.9,0.397,0.01
81,1994-07-06,0.02,115.4,9.97,0.0,0.14,0.002,8.8,19.3,0.348,0.011
82,1994-07-06,0.02,115.6,9.93,0.0,0.19799999999999998,0.0030333333333333336,8.8,19.0,0.37766666666666665,0.01333333333333333
83,1994-07-06,0.02,115.8,9.95,0.0,0.19799999999999998,0.0030333333333333336,8.8,18.4,0.37766666666666665,0.01333333333333333
84,1994-07-06,0.02,115.2,9.97,0.0,0.19799999999999998,0.0030333333333333336,8.8,17.8,0.37766666666666665,0.01333333333333333
85,1994-07-06,0.02,114.6,10.3,0.0,0.233,0.002,8.5,16.3,0.4,0.01
86,1994-07-06,0.02,114.1,10.13,0.0,0.19799999999999998,0.0030333333333333336,8.5,15.9,0.37766666666666665,0.01333333333333333
87,1994-07-06,0.02,113.9,10.01,0.0,0.19799999999999998,0.0030333333333333336,8.3,15.6,0.37766666666666665,0.01333333333333333
88,1994-07-06,0.02,113.1,9.62,0.0,0.19799999999999998,0.0030333333333333336,7.9,14.8,0.37766666666666665,0.01333333333333333
89,1994-07-06,0.02,112.7,9.33,0.0,0.19799999999999998,0.0030333333333333336,7.5,13.7,0.37766666666666665,0.01333333333333333
90,1994-07-06,0.02,112.5,9.12,0.0,0.19799999999999998,0.0030333333333333336,7.3,13.4,0.37766666666666665,0.01333333333333333
91,1994-07-06,0.02,111.6,7.97,0.0,0.19799999999999998,0.0030333333333333336,7,12.2,0.37766666666666665,0.01333333333333333
92,1994-07-06,0.02,110.6,7.43,0.0,0.19799999999999998,0.0030333333333333336,6.8,11.1,0.37766666666666665,0.01333333333333333
93,1994-07-06,0.02,110.4,7.17,0.0,0.19799999999999998,0.0030333333333333336,7.5,9.8,0.37766666666666665,0.01333333333333333
94,1994-07-06,0.02,110.1,5.91,0.0,0.19799999999999998,0.0030333333333333336,6.7,9.2,0.37766666666666665,0.01333333333333333
95,1994-07-06,0.02,109.0,4.83,0.0,0.19799999999999998,0.0030333333333333336,6.7,8.6,0.37766666666666665,0.01333333333333333
96,1994-07-06,0.02,108.3,3.13,0.0,0.19799999999999998,0.0030333333333333336,6.9,8.3,0.37766666666666665,0.01333333333333333
97,1994-07-06,0.02,107.9,1.77,0.0,0.221,0.0051,6.8,8.2,0.385,0.019
99,1994-08-02,0.02,117.1,9.07,0.0,0.05,0.002,9.1,23.8,0.302,0.016
100,1994-08-02,0.02,116.2,10.03,0.0,0.128,0.002,9.2,23.7,0.38666666666666666,0.01
101,1994-08-02,0.02,109.0,10.26,0.0,0.129,0.002,8.3,15.1,0.441,0.007
102,1994-08-02,0.02,109.7,8.52,0.0,0.128,0.002,7.3,12.9,0.38666666666666666,0.01
103,1994-08-02,0.02,107.8,7.33,0.0,0.128,0.002,7.2,11.5,0.38666666666666666,0.01
104,1994-08-02,0.02,105.8,5.91,0.0,0.128,0.002,7.5,10.0,0.38666666666666666,0.01
105,1994-08-02,0.02,106.6,6.21,0.0,0.128,0.002,7,10.6,0.38666666666666666,0.01
106,1994-08-02,0.02,105.6,4.49,0.0,0.128,0.002,7,9.5,0.38666666666666666,0.01
107,1994-08-02,0.02,105.1,3.93,0.0,0.128,0.002,7,9.1,0.38666666666666666,0.01
108,1994-08-02,0.02,105.5,3.19,0.0,0.128,0.002,6.9,8.9,0.38666666666666666,0.01
109,1994-08-02,0.02,105.2,3.26,0.0,0.128,0.002,6.9,8.7,0.38666666666666666,0.01
110,1994-08-02,0.02,105.9,2.32,0.0,0.128,0.002,7.1,8.6,0.38666666666666666,0.01
111,1994-08-02,0.02,109.1,0.82,0.0,0.205,0.002,7,8.4,0.417,0.007
113,1994-09-07,0.06,106.6,9.42,0.0,0.05,0.002,9,21.0,0.275,0.067
114,1994-09-07,0.05466666666666666,106.7,9.28,0.0,0.10666666666666667,0.002,9,21.0,0.331,0.07666666666666666
115,1994-09-07,0.054,103.7,9.15,0.0,0.05,0.002,8.6,19.0,0.275,0.105
116,1994-09-07,0.05466666666666666,100.2,1.84,0.0,0.10666666666666667,0.002,7.2,9.8,0.331,0.07666666666666666
117,1994-09-07,0.05466666666666666,104.9,0.22,0.0,0.10666666666666667,0.002,6.9,8.5,0.331,0.07666666666666666
120,1994-10-04,0.02,111.6,8.89,1.0,0.05,0.002,8.8,19.3,0.248,0.015
121,1994-10-04,0.02,111.7,8.86,1.0,0.05,0.002,8.8,19.1,0.272,0.014
122,1994-10-04,0.02,111.7,9.43,1.0,0.05,0.002,8.8,19.0,0.227,0.016
123,1994-10-04,0.05516666666666666,106.8,7.53,1.0,0.07483333333333334,0.0025166666666666666,7.7,15.8,0.30033333333333334,0.026
124,1994-10-04,0.05516666666666666,105.4,5.55,1.0,0.07483333333333334,0.0025166666666666666,7.3,13.4,0.30033333333333334,0.026
125,1994-10-04,0.05516666666666666,104.7,3.76,1.0,0.07483333333333334,0.0025166666666666666,7.1,11.9,0.30033333333333334,0.026
126,1994-10-04,0.05516666666666666,104.3,3.09,1.0,0.07483333333333334,0.0025166666666666666,7,10.9,0.30033333333333334,0.026
127,1994-10-04,0.02,104.2,1.67,1.0,0.199,0.002,6.9,10.2,0.377,0.016
128,1994-10-04,0.05516666666666666,104.3,0.75,1.0,0.07483333333333334,0.0025166666666666666,6.8,9.3,0.30033333333333334,0.026
129,1994-10-04,0.107,108.7,0.21,1.0,0.05,0.0031,6.8,8.6,0.304,0.037
130,1994-10-04,0.144,118.7,0.2,1.0,0.05,0.004,6.8,8.4,0.374,0.058
132,1994-11-01,0.02,107.4,8.79,4.0,0.05,0.002,7.5,13.3,0.26,0.021
133,1994-11-01,0.02,108.0,8.74,4.0,0.05,0.002,7.4,13.3,0.283,0.027
134,1994-11-01,0.02,108.5,8.68,4.0,0.05,0.002,7.4,13.3,0.239,0.022
135,1994-11-01,0.179,108.8,7.94,4.0,0.05,0.0036,7.3,13.1,0.26,0.031
136,1994-11-01,0.11133333333333333,109.3,7.5,4.0,0.049999999999999996,0.023183333333333334,7.2,12.9,0.30866666666666664,0.0615
137,1994-11-01,0.11133333333333333,111.4,2.61,4.0,0.049999999999999996,0.023183333333333334,6.9,11.4,0.30866666666666664,0.0615
138,1994-11-01,0.11133333333333333,114.3,0.45,4.0,0.049999999999999996,0.023183333333333334,6.7,9.2,0.30866666666666664,0.0615
139,1994-11-01,0.11133333333333333,116.1,0.24,4.0,0.049999999999999996,0.023183333333333334,6.6,8.8,0.30866666666666664,0.0615
140,1994-11-01,0.191,117.9,0.2,4.0,0.05,0.048,6.6,8.6,0.391,0.128
141,1994-11-01,0.238,119.2,0.18,4.0,0.05,0.0815,6.6,8.6,0.419,0.14
144,1994-12-07,0.02,112.3,9.05,2.0,0.14933333333333332,0.011233333333333333,7.2,8.2,0.32833333333333337,0.029666666666666664
145,1994-12-07,0.02,112.5,9.0,2.0,0.15,0.0115,7.2,8.2,0.361,0.036
146,1994-12-07,0.02,112.0,9.06,2.0,0.14933333333333332,0.011233333333333333,7.2,8.2,0.32833333333333337,0.029666666666666664
147,1994-12-07,0.02,112.1,9.05,2.0,0.14933333333333332,0.011233333333333333,7.2,8.2,0.32833333333333337,0.029666666666666664
148,1994-12-07,0.02,112.3,9.06,2.0,0.151,0.0112,7.2,8.2,0.304,0.027
150,1995-01-17,0.02,90.2,10.63,1.0,0.312,0.01,7.6,6.4,0.529,0.023
151,1995-01-17,0.02,92.9,10.59,1.0,0.312,0.0097,7.6,6.4,0.536,0.025
152,1995-01-17,0.02,93.3,10.54,1.0,0.319,0.0089,7.5,6.4,0.528,0.029
154,1995-02-08,0.02,108.9,11.26,0.0,0.356,0.0095,8,7.4,0.58,0.026
155,1995-02-08,0.02,110.3,11.07,0.0,0.375,0.0097,7.9,6.9,0.549,0.027
156,1995-02-08,0.02,109.9,10.58,0.0,0.373,0.0111,7.7,6.5,0.577,0.026
158,1995-03-07,0.02,99.8,11.16,3.0,0.449,0.0059,7.6,7.2,0.644,0.028
159,1995-03-07,0.02,100.9,10.85,3.0,0.435,0.0066,7.5,6.9,0.67,0.03
160,1995-03-07,0.02,101.3,11.25,3.0,0.41,0.007,7.5,6.7,0.634,0.029
162,1995-04-04,0.02,99.9,13.32,0.0,0.484,0.0066,8.8,10.2,0.67,0.018
163,1995-04-04,0.02,100.4,13.26,0.0,0.5028333333333334,0.005966666666666666,8.8,10.2,0.6465,0.0205
164,1995-04-04,0.02,100.6,13.26,0.0,0.471,0.0051,8.8,10.2,0.706,0.015
165,1995-04-04,0.02,100.7,13.26,0.0,0.5028333333333334,0.005966666666666666,8.7,10.1,0.6465,0.0205
166,1995-04-04,0.02,100.6,13.25,0.0,0.5028333333333334,0.005966666666666666,8.7,9.6,0.6465,0.0205
167,1995-04-04,0.02,100.3,13.21,0.0,0.5028333333333334,0.005966666666666666,8.6,9.3,0.6465,0.0205
168,1995-04-04,0.02,100.1,13.12,0.0,0.5028333333333334,0.005966666666666666,8.6,9.2,0.6465,0.0205
169,1995-04-04,0.02,100.2,12.76,0.0,0.483,0.0037,8.4,8.9,0.593,0.031
170,1995-04-04,0.02,100.2,11.26,0.0,0.536,0.0032,7.7,7.9,0.69,0.016
171,1995-04-04,0.02,100.5,10.28,0.0,0.506,0.009,7.5,7.6,0.624,0.021
172,1995-04-04,0.02,100.3,9.96,0.0,0.537,0.0082,7.4,7.6,0.596,0.022
174,1995-04-18,0.02,102.8,13.1,4.0,0.411,0.002,9.1,11.2,0.529,0.009
175,1995-04-18,0.02,102.2,13.19,4.0,0.319,0.002,9.1,10.4,0.497,0.011
176,1995-04-18,0.02,102.2,12.92,4.0,0.335,0.002,8.9,10.3,0.555,0.012
177,1995-04-18,0.02,102.2,11.91,4.0,0.366,0.002,8.3,9.2,0.559,0.012
178,1995-04-18,0.02,102.1,11.2,4.0,0.486,0.002,7.7,8.6,0.578,0.012
179,1995-04-18,0.02,102.0,10.14,4.0,0.432,0.002,7.4,8.1,0.593,0.014
181,1995-05-02,0.02,104.1,12.36,0.0,0.285,0.002,9,13.9,0.462,0.0139
182,1995-05-02,0.02,104.2,12.27,0.0,0.3406666666666667,0.002,9.1,13.8,0.5438333333333333,0.020050000000000002
183,1995-05-02,0.02,104.1,12.41,0.0,0.293,0.002,9.1,13.7,0.563,0.0139
184,1995-05-02,0.02,104.1,12.43,0.0,0.3406666666666667,0.002,9.1,13.7,0.5438333333333333,0.020050000000000002
185,1995-05-02,0.02,104.1,12.41,0.0,0.3406666666666667,0.002,9.1,13.6,0.5438333333333333,0.020050000000000002
186,1995-05-02,0.02,104.0,12.57,0.0,0.3406666666666667,0.002,9.1,13.6,0.5438333333333333,0.020050000000000002
187,1995-05-02,0.02,104.4,12.72,0.0,0.3406666666666667,0.002,9.1,13.2,0.5438333333333333,0.020050000000000002
188,1995-05-02,0.02,103.9,124.4,0.0,0.301,0.002,9.1,12.8,0.505,0.0215
189,1995-05-02,0.02,103.7,13.75,0.0,0.3406666666666667,0.002,9.2,12.2,0.5438333333333333,0.020050000000000002
190,1995-05-02,0.02,103.4,14.2,0.0,0.3406666666666667,0.002,9.2,11.5,0.5438333333333333,0.020050000000000002
191,1995-05-02,0.02,102.6,13.96,0.0,0.3406666666666667,0.002,9.1,10.8,0.5438333333333333,0.020050000000000002
192,1995-05-02,0.02,103.1,13.67,0.0,0.3406666666666667,0.002,9.1,10.7,0.5438333333333333,0.020050000000000002
193,1995-05-02,0.02,102.4,13.02,0.0,0.335,0.002,8.9,10.3,0.517,0.0146
194,1995-05-02,0.02,102.6,12.77,0.0,0.3406666666666667,0.002,8.8,10.2,0.5438333333333333,0.020050000000000002
195,1995-05-02,0.02,102.3,11.96,0.0,0.3406666666666667,0.002,8.3,9.5,0.5438333333333333,0.020050000000000002
196,1995-05-02,0.02,102.6,10.39,0.0,0.41,0.002,7.7,8.8,0.657,0.0258
197,1995-05-02,0.02,102.8,8.38,0.0,0.42,0.002,7.3,8.2,0.559,0.0306
199,1995-05-16,0.02,106.9,10.6,0.0,0.292,0.002,8.8,16.6,0.64,0.008
200,1995-05-16,0.02,106.8,10.62,0.0,0.3368333333333333,0.0020833333333333333,8.8,16.5,0.5768333333333333,0.009333333333333332
201,1995-05-16,0.02,106.7,10.67,0.0,0.3368333333333333,0.0020833333333333333,8.8,16.4,0.5768333333333333,0.009333333333333332
202,1995-05-16,0.02,106.6,10.78,0.0,0.293,0.002,8.8,16.2,0.506,0.006
203,1995-05-16,0.02,106.7,10.57,0.0,0.3368333333333333,0.0020833333333333333,8.8,16.2,0.5768333333333333,0.009333333333333332
204,1995-05-16,0.02,106.2,10.79,0.0,0.3368333333333333,0.0020833333333333333,8.8,14.9,0.5768333333333333,0.009333333333333332
205,1995-05-16,0.02,106.1,11.09,0.0,0.3368333333333333,0.0020833333333333333,8.8,14.6,0.5768333333333333,0.009333333333333332
206,1995-05-16,0.02,106.2,11.08,0.0,0.3368333333333333,0.0020833333333333333,8.8,14.6,0.5768333333333333,0.009333333333333332
207,1995-05-16,0.02,105.8,11.19,0.0,0.303,0.002,8.8,13.8,0.52,0.006
208,1995-05-16,0.02,105.7,11.38,0.0,0.3368333333333333,0.0020833333333333333,8.8,13.5,0.5768333333333333,0.009333333333333332
209,1995-05-16,0.02,105.5,11.59,0.0,0.3368333333333333,0.0020833333333333333,8.7,12.3,0.5768333333333333,0.009333333333333332
210,1995-05-16,0.02,104.7,11.11,0.0,0.3368333333333333,0.0020833333333333333,8.3,10.5,0.5768333333333333,0.009333333333333332
211,1995-05-16,0.02,104.4,10.59,0.0,0.3368333333333333,0.0020833333333333333,7.9,9.9,0.5768333333333333,0.009333333333333332
212,1995-05-16,0.02,104.3,10.37,0.0,0.371,0.002,7.6,9.6,0.538,0.01
213,1995-05-16,0.02,104.3,9.64,0.0,0.3368333333333333,0.0020833333333333333,7.4,9.2,0.5768333333333333,0.009333333333333332
214,1995-05-16,0.02,104.8,8.12,0.0,0.3368333333333333,0.0020833333333333333,7.2,8.8,0.5768333333333333,0.009333333333333332
215,1995-05-16,0.02,103.9,7.29,0.0,0.396,0.002,7,8.3,0.68,0.013
216,1995-05-16,0.02,103.9,5.95,0.0,0.366,0.0025,6.9,8.2,0.577,0.013
218,1995-06-05,0.02,104.6,9.88,0.0,0.221,0.002,8.6,21.0,0.459,0.005
219,1995-06-05,0.02,104.4,9.94,0.0,0.2961666666666667,0.0022,8.7,20.6,0.5285000000000001,0.008333333333333333
220,1995-06-05,0.02,104.3,10.01,0.0,0.219,0.002,8.7,20.3,0.476,0.018
221,1995-06-05,0.02,104.1,10.04,0.0,0.2961666666666667,0.0022,8.7,20.0,0.5285000000000001,0.008333333333333333
222,1995-06-05,0.02,102.8,10.6,0.0,0.2961666666666667,0.0022,8.6,16.8,0.5285000000000001,0.008333333333333333
223,1995-06-05,0.02,101.7,11.34,0.0,0.2961666666666667,0.0022,8.7,15.5,0.5285000000000001,0.008333333333333333
224,1995-06-05,0.02,101.0,11.19,0.0,0.2961666666666667,0.0022,8.5,13.9,0.5285000000000001,0.008333333333333333
225,1995-06-05,0.02,100.3,10.29,0.0,0.299,0.002,7.8,11.6,0.555,0.008
226,1995-06-05,0.02,100.4,10.12,0.0,0.2961666666666667,0.0022,7.7,11.4,0.5285000000000001,0.008333333333333333
227,1995-06-05,0.02,100.2,9.77,0.0,0.2961666666666667,0.0022,7.5,11.1,0.5285000000000001,0.008333333333333333
228,1995-06-05,0.02,100.7,9.62,0.0,0.2961666666666667,0.0022,7.4,10.9,0.5285000000000001,0.008333333333333333
229,1995-06-05,0.02,100.5,9.07,0.0,0.2961666666666667,0.0022,7.3,10.3,0.5285000000000001,0.008333333333333333
230,1995-06-05,0.02,100.1,9.72,0.0,0.316,0.002,7.3,9.6,0.564,0.005
231,1995-06-05,0.02,99.7,7.48,0.0,0.2961666666666667,0.0022,7.1,9.0,0.5285000000000001,0.008333333333333333
232,1995-06-05,0.02,99.3,5.54,0.0,0.36,0.002,6.9,8.5,0.566,0.008
233,1995-06-05,0.02,99.1,5.18,0.0,0.362,0.0032,6.8,8.4,0.551,0.006
235,1995-07-10,0.02,112.4,10.86,4.0,0.05,0.002,9.1,21.3,0.329,0.0127
236,1995-07-10,0.02,111.1,11.15,4.0,0.05,0.002,9.1,21.1,0.34,0.0146
237,1995-07-10,0.021666666666666667,110.0,12.3,4.0,0.22833333333333336,0.00335,9.1,19.2,0.44116666666666665,0.01725
238,1995-07-10,0.021666666666666667,106.3,11.43,4.0,0.22833333333333336,0.00335,8.6,14.8,0.44116666666666665,0.01725
239,1995-07-10,0.021666666666666667,104.8,9.18,4.0,0.22833333333333336,0.00335,7.7,11.3,0.44116666666666665,0.01725
240,1995-07-10,0.02,104.7,8.23,4.0,0.356,0.002,7.4,10.3,0.558,0.006
241,1995-07-10,0.021666666666666667,104.1,7.22,4.0,0.22833333333333336,0.00335,7.2,9.6,0.44116666666666665,0.01725
242,1995-07-10,0.021666666666666667,103.9,6.78,4.0,0.22833333333333336,0.00335,7.1,9.4,0.44116666666666665,0.01725
243,1995-07-10,0.02,103.4,4.84,4.0,0.397,0.002,7,8.8,0.554,0.0083
244,1995-07-10,0.02,103.7,1.25,4.0,0.292,0.0043,6.7,8.3,0.453,0.0282
245,1995-07-10,0.03,104.1,0.92,4.0,0.225,0.0078,6.6,8.3,0.413,0.0337
247,1995-08-01,0.02,105.7,10.04,0.0,0.05,0.002,9.1,22.7,0.315,0.011
248,1995-08-01,0.02,104.2,9.07,0.0,0.05,0.002,9.1,22.2,0.347,0.009
249,1995-08-01,0.021333333333333333,102.3,11.28,0.0,0.21466666666666667,0.0033666666666666667,9,19.6,0.45583333333333337,0.015666666666666666
250,1995-08-01,0.021333333333333333,102.4,10.63,0.0,0.21466666666666667,0.0033666666666666667,9,19.0,0.45583333333333337,0.015666666666666666
251,1995-08-01,0.021333333333333333,102.0,10.72,0.0,0.21466666666666667,0.0033666666666666667,8.9,17.9,0.45583333333333337,0.015666666666666666
252,1995-08-01,0.021333333333333333,100.6,10.3,0.0,0.21466666666666667,0.0033666666666666667,8.7,16.7,0.45583333333333337,0.015666666666666666
253,1995-08-01,0.021333333333333333,100.4,9.54,0.0,0.21466666666666667,0.0033666666666666667,8.1,15.2,0.45583333333333337,0.015666666666666666
254,1995-08-01,0.02,99.9,9.16,0.0,0.218,0.002,7.7,13.5,0.495,0.016
255,1995-08-01,0.021333333333333333,99.2,8.32,0.0,0.21466666666666667,0.0033666666666666667,7.5,11.8,0.45583333333333337,0.015666666666666666
256,1995-08-01,0.021333333333333333,99.0,7.71,0.0,0.21466666666666667,0.0033666666666666667,7.4,11.1,0.45583333333333337,0.015666666666666666
257,1995-08-01,0.021333333333333333,99.0,7.44,0.0,0.21466666666666667,0.0033666666666666667,7.3,10.5,0.45583333333333337,0.015666666666666666
258,1995-08-01,0.02,98.0,5.38,0.0,0.394,0.002,7.1,9.5,0.651,0.011
259,1995-08-01,0.02,99.4,1.91,0.0,0.316,0.0021,6.8,8.6,0.481,0.016
260,1995-08-01,0.028,102.5,0.89,0.0,0.26,0.0101,6.7,8.4,0.446,0.031
262,1995-09-12,0.02,110.1,9.64,0.0,0.05,0.0034,8.8,20.5,0.205,0.0069
263,1995-09-12,0.02,109.7,9.73,0.0,0.05,0.0031,8.8,20.3,0.121,0.005
264,1995-09-12,0.0375,109.7,9.72,0.0,0.16216666666666665,0.0042,8.8,20.3,0.37599999999999995,0.011383333333333334
